SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Face-to-Face,1 Day,17524
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Face-to-Face,15  to 21 Days,9248
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Face-to-Face,2 to 7 Days,38061
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Face-to-Face,22  to 28 Days,5564
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Face-to-Face,8  to 14 Days,17317
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Face-to-Face,More than 28 Days,3900
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Face-to-Face,Same Day,97639
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Face-to-Face,Unknown / Data Quality,55
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Home Visit,1 Day,424
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Home Visit,15  to 21 Days,17
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Home Visit,2 to 7 Days,477
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Home Visit,22  to 28 Days,5
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Home Visit,8  to 14 Days,59
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Home Visit,Same Day,1689
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Home Visit,Unknown / Data Quality,11
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Telephone,1 Day,21677
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Telephone,15  to 21 Days,9160
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Telephone,2 to 7 Days,42299
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Telephone,22  to 28 Days,4705
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Telephone,8  to 14 Days,20946
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Telephone,More than 28 Days,1656
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Telephone,Same Day,137387
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Telephone,Unknown / Data Quality,12
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Unknown,1 Day,267
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Unknown,15  to 21 Days,1274
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Unknown,2 to 7 Days,514
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Unknown,22  to 28 Days,223
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Unknown,8  to 14 Days,443
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Unknown,More than 28 Days,227
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Unknown,Same Day,678
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Unknown,Unknown / Data Quality,1
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Video/Online,1 Day,214
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Video/Online,15  to 21 Days,11
91Q,E38000237,NHS Kent and Medway ICB - 91Q,E54000032,NHS Kent and Medway Integrated Care Board,E40000005,South East,NOV2021,Attended,GP,Video/Online,2 to 7 Days,425
