SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Face-to-Face,1 Day,17161
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Face-to-Face,15  to 21 Days,9358
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Face-to-Face,2 to 7 Days,30109
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Face-to-Face,22  to 28 Days,5131
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Face-to-Face,8  to 14 Days,17041
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Face-to-Face,More than 28 Days,3436
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Face-to-Face,Same Day,116205
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Face-to-Face,Unknown / Data Quality,259
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Home Visit,1 Day,257
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Home Visit,15  to 21 Days,5
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Home Visit,2 to 7 Days,305
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Home Visit,22  to 28 Days,9
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Home Visit,8  to 14 Days,38
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Home Visit,More than 28 Days,6
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Home Visit,Same Day,1482
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Home Visit,Unknown / Data Quality,13
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Telephone,1 Day,8581
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Telephone,15  to 21 Days,5436
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Telephone,2 to 7 Days,16511
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Telephone,22  to 28 Days,3197
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Telephone,8  to 14 Days,8252
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Telephone,More than 28 Days,1449
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Telephone,Same Day,54660
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Telephone,Unknown / Data Quality,11
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Unknown,1 Day,2
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Unknown,2 to 7 Days,6
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Unknown,22  to 28 Days,1
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Unknown,Same Day,4
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Video/Online,1 Day,283
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Video/Online,15  to 21 Days,49
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Video/Online,2 to 7 Days,435
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Video/Online,22  to 28 Days,24
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Video/Online,8  to 14 Days,174
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Video/Online,More than 28 Days,129
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,GP,Video/Online,Same Day,495
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,Other Practice staff,Face-to-Face,1 Day,17808
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,20098
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,54488
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,11299
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,37163
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,Other Practice staff,Face-to-Face,More than 28 Days,11278
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,MAR2023,Attended,Other Practice staff,Face-to-Face,Same Day,59824
