SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Face-to-Face,1 Day,17150
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Face-to-Face,15  to 21 Days,12976
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Face-to-Face,2 to 7 Days,36383
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Face-to-Face,22  to 28 Days,8322
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Face-to-Face,8  to 14 Days,21377
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Face-to-Face,More than 28 Days,5489
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Face-to-Face,Same Day,94452
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Face-to-Face,Unknown / Data Quality,124
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Home Visit,1 Day,197
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Home Visit,15  to 21 Days,15
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Home Visit,2 to 7 Days,350
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Home Visit,22  to 28 Days,13
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Home Visit,8  to 14 Days,67
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Home Visit,More than 28 Days,21
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Home Visit,Same Day,1422
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Home Visit,Unknown / Data Quality,23
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Telephone,1 Day,12590
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Telephone,15  to 21 Days,7384
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Telephone,2 to 7 Days,23813
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Telephone,22  to 28 Days,4633
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Telephone,8  to 14 Days,13876
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Telephone,More than 28 Days,2008
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Telephone,Same Day,87955
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Telephone,Unknown / Data Quality,7
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Video/Online,1 Day,753
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Video/Online,15  to 21 Days,395
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Video/Online,2 to 7 Days,909
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Video/Online,22  to 28 Days,395
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Video/Online,8  to 14 Days,651
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Video/Online,More than 28 Days,453
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,GP,Video/Online,Same Day,1805
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Face-to-Face,1 Day,22601
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,26672
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,71469
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,17852
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,54401
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Face-to-Face,More than 28 Days,16791
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Face-to-Face,Same Day,77430
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Face-to-Face,Unknown / Data Quality,370
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Home Visit,1 Day,496
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Home Visit,15  to 21 Days,46
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Home Visit,2 to 7 Days,404
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Home Visit,22  to 28 Days,30
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Home Visit,8  to 14 Days,104
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Home Visit,More than 28 Days,11
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Home Visit,Same Day,2338
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Home Visit,Unknown / Data Quality,17
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Telephone,1 Day,6459
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Telephone,15  to 21 Days,2751
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Telephone,2 to 7 Days,11766
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Telephone,22  to 28 Days,2103
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Telephone,8  to 14 Days,5209
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Telephone,More than 28 Days,1639
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Telephone,Same Day,44158
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Telephone,Unknown / Data Quality,56
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Unknown,2 to 7 Days,1
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Unknown,Same Day,2
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Video/Online,1 Day,1035
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Video/Online,15  to 21 Days,848
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Video/Online,2 to 7 Days,1737
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Video/Online,22  to 28 Days,478
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Video/Online,8  to 14 Days,1517
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Video/Online,More than 28 Days,664
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Other Practice staff,Video/Online,Same Day,657
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Unknown,Face-to-Face,1 Day,210
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Unknown,Face-to-Face,15  to 21 Days,3
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Unknown,Face-to-Face,2 to 7 Days,105
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Unknown,Face-to-Face,22  to 28 Days,4
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Unknown,Face-to-Face,8  to 14 Days,15
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Unknown,Face-to-Face,Same Day,1549
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Unknown,Home Visit,1 Day,72
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Unknown,Home Visit,15  to 21 Days,1
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Unknown,Home Visit,2 to 7 Days,44
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Unknown,Home Visit,8  to 14 Days,4
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Unknown,Home Visit,Same Day,381
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Unknown,Home Visit,Unknown / Data Quality,2
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Unknown,Telephone,2 to 7 Days,1
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Unknown,Telephone,Same Day,101
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Unknown,Unknown,1 Day,1293
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Unknown,Unknown,15  to 21 Days,310
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Unknown,Unknown,2 to 7 Days,2465
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAR2023,Attended,Unknown,Unknown,22  to 28 Days,196
