SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Face-to-Face,1 Day,32822
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Face-to-Face,15  to 21 Days,12800
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Face-to-Face,2 to 7 Days,61350
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Face-to-Face,22  to 28 Days,6626
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Face-to-Face,8  to 14 Days,27033
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Face-to-Face,More than 28 Days,4951
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Face-to-Face,Same Day,164834
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Face-to-Face,Unknown / Data Quality,417
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Home Visit,1 Day,571
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Home Visit,15  to 21 Days,27
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Home Visit,2 to 7 Days,428
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Home Visit,22  to 28 Days,16
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Home Visit,8  to 14 Days,110
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Home Visit,More than 28 Days,32
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Home Visit,Same Day,1553
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Home Visit,Unknown / Data Quality,30
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Telephone,1 Day,21023
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Telephone,15  to 21 Days,9960
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Telephone,2 to 7 Days,38955
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Telephone,22  to 28 Days,3366
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Telephone,8  to 14 Days,18854
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Telephone,More than 28 Days,1654
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Telephone,Same Day,119983
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Telephone,Unknown / Data Quality,3192
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Unknown,1 Day,166
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Unknown,2 to 7 Days,59
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Unknown,8  to 14 Days,1
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Unknown,Same Day,15
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Video/Online,1 Day,438
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Video/Online,15  to 21 Days,36
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Video/Online,2 to 7 Days,1208
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Video/Online,22  to 28 Days,10
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Video/Online,8  to 14 Days,127
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Video/Online,More than 28 Days,4
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Video/Online,Same Day,555
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,GP,Video/Online,Unknown / Data Quality,2
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,Other Practice staff,Face-to-Face,1 Day,28770
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,18201
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,85225
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,9225
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,47255
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,Other Practice staff,Face-to-Face,More than 28 Days,5785
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,Other Practice staff,Face-to-Face,Same Day,74552
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,Other Practice staff,Face-to-Face,Unknown / Data Quality,178
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,Other Practice staff,Home Visit,1 Day,209
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,Other Practice staff,Home Visit,15  to 21 Days,71
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,Other Practice staff,Home Visit,2 to 7 Days,366
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,MAR2023,Attended,Other Practice staff,Home Visit,22  to 28 Days,19
