CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,1 Day,999
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,15  to 21 Days,1112
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,2 to 7 Days,2878
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,22  to 28 Days,1119
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,8  to 14 Days,2454
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,More than 28 Days,827
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,Same Day,11636
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,GP,Home Visit,1 Day,1
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,GP,Home Visit,2 to 7 Days,38
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,GP,Home Visit,Same Day,33
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,GP,Telephone,1 Day,352
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,GP,Telephone,15  to 21 Days,76
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,GP,Telephone,2 to 7 Days,699
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,GP,Telephone,22  to 28 Days,40
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,GP,Telephone,8  to 14 Days,390
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,GP,Telephone,More than 28 Days,22
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,GP,Telephone,Same Day,4692
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,1 Day,1629
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,1629
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,3979
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,1310
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,2593
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,More than 28 Days,1510
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,Same Day,7072
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,Unknown / Data Issue,5
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Home Visit,1 Day,35
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Home Visit,15  to 21 Days,10
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Home Visit,2 to 7 Days,46
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Home Visit,22  to 28 Days,6
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Home Visit,8  to 14 Days,19
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Home Visit,More than 28 Days,12
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Home Visit,Same Day,102
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Telephone,1 Day,132
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Telephone,15  to 21 Days,35
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Telephone,2 to 7 Days,188
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Telephone,22  to 28 Days,36
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Telephone,8  to 14 Days,60
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Telephone,More than 28 Days,12
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Telephone,Same Day,3118
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Telephone,Unknown / Data Issue,1
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Unknown,Face-to-Face,1 Day,60
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Unknown,Face-to-Face,15  to 21 Days,1
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Unknown,Face-to-Face,2 to 7 Days,25
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Unknown,Face-to-Face,8  to 14 Days,1
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Unknown,Face-to-Face,Same Day,344
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Unknown,Home Visit,1 Day,37
01F,E38000068,NHS Halton CCG,E54000008,Cheshire And Merseyside  STP,E40000010,North West,JUL2019,Attended,Unknown,Home Visit,15  to 21 Days,2
