CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,1 Day,29347
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,15  to 21 Days,22744
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,2 to 7 Days,71449
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,22  to 28 Days,11028
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,8  to 14 Days,49612
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,More than 28 Days,6014
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,Same Day,196678
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,Unknown / Data Issue,361
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,1 Day,320
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,15  to 21 Days,10
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,2 to 7 Days,264
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,22  to 28 Days,2
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,8  to 14 Days,55
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,More than 28 Days,3
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,Same Day,1104
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,Unknown / Data Issue,18
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Telephone,1 Day,9648
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Telephone,15  to 21 Days,684
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Telephone,2 to 7 Days,14011
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Telephone,22  to 28 Days,214
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Telephone,8  to 14 Days,2899
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Telephone,More than 28 Days,118
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Telephone,Same Day,55354
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Telephone,Unknown / Data Issue,325
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Unknown,1 Day,582
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Unknown,15  to 21 Days,760
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Unknown,2 to 7 Days,1622
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Unknown,22  to 28 Days,469
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Unknown,8  to 14 Days,1788
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Unknown,More than 28 Days,138
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Unknown,Same Day,5375
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Unknown,Unknown / Data Issue,5
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Video/Online,1 Day,59
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Video/Online,15  to 21 Days,124
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Video/Online,2 to 7 Days,47
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Video/Online,22  to 28 Days,61
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Video/Online,8  to 14 Days,97
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Video/Online,More than 28 Days,16
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Video/Online,Same Day,547
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,Other Practice staff,Face-to-Face,1 Day,16963
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,18754
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,64722
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,10177
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,42656
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,Other Practice staff,Face-to-Face,More than 28 Days,6348
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,Other Practice staff,Face-to-Face,Same Day,57697
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,Other Practice staff,Face-to-Face,Unknown / Data Issue,120
A3A8R,E38000255,NHS North East London CCG,E54000029,East London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,Other Practice staff,Home Visit,1 Day,53
