CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,1 Day,2722
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,15  to 21 Days,2716
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,2 to 7 Days,8428
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,22  to 28 Days,2010
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,8  to 14 Days,6179
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,More than 28 Days,1098
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,Same Day,25892
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,Unknown / Data Issue,4
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Home Visit,1 Day,70
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Home Visit,2 to 7 Days,27
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Home Visit,22  to 28 Days,1
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Home Visit,8  to 14 Days,5
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Home Visit,Same Day,264
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Telephone,1 Day,1142
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Telephone,15  to 21 Days,113
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Telephone,2 to 7 Days,1724
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Telephone,22  to 28 Days,35
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Telephone,8  to 14 Days,557
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Telephone,More than 28 Days,22
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Telephone,Same Day,5838
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Telephone,Unknown / Data Issue,1
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Unknown,1 Day,582
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Unknown,15  to 21 Days,435
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Unknown,2 to 7 Days,1637
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Unknown,22  to 28 Days,422
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Unknown,8  to 14 Days,850
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Unknown,More than 28 Days,177
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Unknown,Same Day,3117
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Video/Online,1 Day,8
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Video/Online,15  to 21 Days,11
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Video/Online,2 to 7 Days,3
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Video/Online,8  to 14 Days,35
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Video/Online,More than 28 Days,1
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,GP,Video/Online,Same Day,2
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,1 Day,2799
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,4371
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,10993
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,2482
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,7883
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,More than 28 Days,3006
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,Same Day,9775
