CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,GP,Face-to-Face,1 Day,1554
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,GP,Face-to-Face,15  to 21 Days,3400
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,GP,Face-to-Face,2 to 7 Days,4029
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,GP,Face-to-Face,22  to 28 Days,2489
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,GP,Face-to-Face,8  to 14 Days,3270
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,GP,Face-to-Face,More than 28 Days,702
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,GP,Face-to-Face,Same Day,11794
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,GP,Telephone,1 Day,301
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,GP,Telephone,15  to 21 Days,252
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,GP,Telephone,2 to 7 Days,519
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,GP,Telephone,22  to 28 Days,75
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,GP,Telephone,8  to 14 Days,289
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,GP,Telephone,More than 28 Days,32
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,GP,Telephone,Same Day,6394
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,Other Practice staff,Face-to-Face,1 Day,2119
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,4123
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,7792
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,2767
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,5793
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,Other Practice staff,Face-to-Face,More than 28 Days,1391
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,Other Practice staff,Face-to-Face,Same Day,12323
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,Other Practice staff,Face-to-Face,Unknown / Data Issue,1
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,Other Practice staff,Telephone,1 Day,74
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,Other Practice staff,Telephone,15  to 21 Days,153
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,Other Practice staff,Telephone,2 to 7 Days,185
10R,E38000137,NHS Portsmouth CCG,E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,JUL2019,Attended,Other Practice staff,Telephone,22  to 28 Days,76
