CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,1 Day,2098
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,15  to 21 Days,1256
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,2 to 7 Days,6663
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,22  to 28 Days,613
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,8  to 14 Days,4564
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,More than 28 Days,299
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,Same Day,15746
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,GP,Face-to-Face,Unknown / Data Issue,7
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,GP,Home Visit,1 Day,60
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,GP,Home Visit,2 to 7 Days,26
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,GP,Home Visit,8  to 14 Days,5
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,GP,Home Visit,Same Day,333
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,GP,Telephone,1 Day,572
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,GP,Telephone,15  to 21 Days,31
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,GP,Telephone,2 to 7 Days,632
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,GP,Telephone,22  to 28 Days,7
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,GP,Telephone,8  to 14 Days,128
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,GP,Telephone,Same Day,1977
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,1 Day,1294
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,1734
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,4705
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,1075
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,4019
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,More than 28 Days,1016
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,Same Day,5958
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Face-to-Face,Unknown / Data Issue,5
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Home Visit,1 Day,7
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Home Visit,15  to 21 Days,7
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Home Visit,2 to 7 Days,10
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Home Visit,8  to 14 Days,1
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Home Visit,Same Day,122
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Telephone,1 Day,84
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Telephone,15  to 21 Days,13
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Telephone,2 to 7 Days,126
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Telephone,22  to 28 Days,7
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Telephone,8  to 14 Days,24
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Telephone,More than 28 Days,6
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Telephone,Same Day,329
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Other Practice staff,Telephone,Unknown / Data Issue,1
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Unknown,Face-to-Face,1 Day,1
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E40000010,North West,JUL2019,Attended,Unknown,Face-to-Face,15  to 21 Days,4
