CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,1 Day,2755
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,15  to 21 Days,2729
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,2 to 7 Days,7558
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,22  to 28 Days,1996
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,8  to 14 Days,6664
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,More than 28 Days,900
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,Same Day,24766
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,Unknown / Data Issue,1
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Home Visit,1 Day,10
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Home Visit,15  to 21 Days,1
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Home Visit,2 to 7 Days,7
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Home Visit,8  to 14 Days,1
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Home Visit,Same Day,181
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Telephone,1 Day,704
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Telephone,15  to 21 Days,130
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Telephone,2 to 7 Days,1635
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Telephone,22  to 28 Days,72
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Telephone,8  to 14 Days,550
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Telephone,More than 28 Days,24
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Telephone,Same Day,5826
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Video/Online,1 Day,70
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Video/Online,15  to 21 Days,101
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Video/Online,2 to 7 Days,282
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Video/Online,22  to 28 Days,79
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Video/Online,8  to 14 Days,229
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Video/Online,More than 28 Days,20
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,GP,Video/Online,Same Day,74
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Face-to-Face,1 Day,3624
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,4581
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,14824
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,3958
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,10431
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Face-to-Face,More than 28 Days,5088
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Face-to-Face,Same Day,13628
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Face-to-Face,Unknown / Data Issue,3
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Home Visit,1 Day,2
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Home Visit,15  to 21 Days,1
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Home Visit,8  to 14 Days,2
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Home Visit,Same Day,65
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Telephone,1 Day,340
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Telephone,15  to 21 Days,63
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Telephone,2 to 7 Days,348
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Telephone,22  to 28 Days,58
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Telephone,8  to 14 Days,99
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Telephone,More than 28 Days,44
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Telephone,Same Day,2314
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Video/Online,1 Day,18
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Video/Online,15  to 21 Days,3
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Video/Online,2 to 7 Days,46
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Video/Online,22  to 28 Days,1
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Video/Online,8  to 14 Days,8
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Video/Online,More than 28 Days,4
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Video/Online,Same Day,57
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Face-to-Face,1 Day,151
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Face-to-Face,15  to 21 Days,12
02Y,E38000052,NHS East Riding of Yorkshire CCG,E54000051,"Humber, Coast And Vale  STP",E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Face-to-Face,2 to 7 Days,149
