CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,1 Day,28788
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,15  to 21 Days,32349
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,2 to 7 Days,83379
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,22  to 28 Days,17380
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,8  to 14 Days,59152
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,More than 28 Days,8136
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,Same Day,199372
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,Unknown / Data Issue,378
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,1 Day,217
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,15  to 21 Days,17
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,2 to 7 Days,175
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,22  to 28 Days,2
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,8  to 14 Days,49
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,More than 28 Days,3
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,Same Day,1513
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,Unknown / Data Issue,31
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Telephone,1 Day,8515
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Telephone,15  to 21 Days,1061
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Telephone,2 to 7 Days,16015
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Telephone,22  to 28 Days,397
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Telephone,8  to 14 Days,4766
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Telephone,More than 28 Days,242
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Telephone,Same Day,50800
W2U3Z,E38000256,NHS North West London CCG,E54000027,North West London Health And Care Partnership  STP,E40000003,London,JUL2019,Attended,GP,Telephone,Unknown / Data Issue,35
