CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,1 Day,19517
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,15  to 21 Days,21449
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,2 to 7 Days,48883
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,22  to 28 Days,10775
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,8  to 14 Days,36350
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,More than 28 Days,4389
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,Same Day,127580
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Face-to-Face,Unknown / Data Issue,81
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,1 Day,124
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,15  to 21 Days,7
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,2 to 7 Days,144
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,22  to 28 Days,2
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,8  to 14 Days,21
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,More than 28 Days,1
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Home Visit,Same Day,907
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Telephone,1 Day,6899
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Telephone,15  to 21 Days,997
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Telephone,2 to 7 Days,11636
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Telephone,22  to 28 Days,294
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Telephone,8  to 14 Days,3421
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Telephone,More than 28 Days,109
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Telephone,Same Day,44139
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Telephone,Unknown / Data Issue,316
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Unknown,1 Day,3174
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Unknown,15  to 21 Days,3215
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Unknown,2 to 7 Days,7392
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Unknown,22  to 28 Days,2266
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Unknown,8  to 14 Days,5031
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,JUL2019,Attended,GP,Unknown,More than 28 Days,754
