CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
02P,E38000006,NHS Barnsley CCG,E54000009,South Yorkshire And Bassetlaw  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,1 Day,2565
02P,E38000006,NHS Barnsley CCG,E54000009,South Yorkshire And Bassetlaw  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,15  to 21 Days,3776
02P,E38000006,NHS Barnsley CCG,E54000009,South Yorkshire And Bassetlaw  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,2 to 7 Days,7264
02P,E38000006,NHS Barnsley CCG,E54000009,South Yorkshire And Bassetlaw  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,22  to 28 Days,1811
02P,E38000006,NHS Barnsley CCG,E54000009,South Yorkshire And Bassetlaw  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,8  to 14 Days,6207
02P,E38000006,NHS Barnsley CCG,E54000009,South Yorkshire And Bassetlaw  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,More than 28 Days,798
02P,E38000006,NHS Barnsley CCG,E54000009,South Yorkshire And Bassetlaw  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,Same Day,21671
02P,E38000006,NHS Barnsley CCG,E54000009,South Yorkshire And Bassetlaw  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Home Visit,1 Day,5
02P,E38000006,NHS Barnsley CCG,E54000009,South Yorkshire And Bassetlaw  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Home Visit,2 to 7 Days,3
02P,E38000006,NHS Barnsley CCG,E54000009,South Yorkshire And Bassetlaw  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Home Visit,Same Day,164
02P,E38000006,NHS Barnsley CCG,E54000009,South Yorkshire And Bassetlaw  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Telephone,1 Day,304
02P,E38000006,NHS Barnsley CCG,E54000009,South Yorkshire And Bassetlaw  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Telephone,15  to 21 Days,58
02P,E38000006,NHS Barnsley CCG,E54000009,South Yorkshire And Bassetlaw  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Telephone,2 to 7 Days,736
02P,E38000006,NHS Barnsley CCG,E54000009,South Yorkshire And Bassetlaw  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Telephone,22  to 28 Days,18
02P,E38000006,NHS Barnsley CCG,E54000009,South Yorkshire And Bassetlaw  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Telephone,8  to 14 Days,307
02P,E38000006,NHS Barnsley CCG,E54000009,South Yorkshire And Bassetlaw  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Telephone,More than 28 Days,7
02P,E38000006,NHS Barnsley CCG,E54000009,South Yorkshire And Bassetlaw  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Telephone,Same Day,4430
02P,E38000006,NHS Barnsley CCG,E54000009,South Yorkshire And Bassetlaw  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Unknown,1 Day,63
02P,E38000006,NHS Barnsley CCG,E54000009,South Yorkshire And Bassetlaw  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Unknown,15  to 21 Days,75
