CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
02T,E38000025,NHS Calderdale CCG,E54000054,West Yorkshire And Harrogate (Health And Care Partnership)  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,1 Day,2769
02T,E38000025,NHS Calderdale CCG,E54000054,West Yorkshire And Harrogate (Health And Care Partnership)  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,15  to 21 Days,1670
02T,E38000025,NHS Calderdale CCG,E54000054,West Yorkshire And Harrogate (Health And Care Partnership)  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,2 to 7 Days,6243
02T,E38000025,NHS Calderdale CCG,E54000054,West Yorkshire And Harrogate (Health And Care Partnership)  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,22  to 28 Days,1739
02T,E38000025,NHS Calderdale CCG,E54000054,West Yorkshire And Harrogate (Health And Care Partnership)  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,8  to 14 Days,2502
02T,E38000025,NHS Calderdale CCG,E54000054,West Yorkshire And Harrogate (Health And Care Partnership)  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,More than 28 Days,1308
02T,E38000025,NHS Calderdale CCG,E54000054,West Yorkshire And Harrogate (Health And Care Partnership)  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,Same Day,19134
02T,E38000025,NHS Calderdale CCG,E54000054,West Yorkshire And Harrogate (Health And Care Partnership)  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Face-to-Face,Unknown / Data Issue,2
02T,E38000025,NHS Calderdale CCG,E54000054,West Yorkshire And Harrogate (Health And Care Partnership)  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Home Visit,1 Day,8
02T,E38000025,NHS Calderdale CCG,E54000054,West Yorkshire And Harrogate (Health And Care Partnership)  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Home Visit,2 to 7 Days,9
02T,E38000025,NHS Calderdale CCG,E54000054,West Yorkshire And Harrogate (Health And Care Partnership)  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Home Visit,Same Day,74
