SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
00T,E38000016,NHS Greater Manchester ICB - 00T,E54000057,NHS Greater Manchester Integrated Care Board,E40000010,North West,JUL2023,Attended,GP,Face-to-Face,1 Day,2135
00T,E38000016,NHS Greater Manchester ICB - 00T,E54000057,NHS Greater Manchester Integrated Care Board,E40000010,North West,JUL2023,Attended,GP,Face-to-Face,15  to 21 Days,1448
00T,E38000016,NHS Greater Manchester ICB - 00T,E54000057,NHS Greater Manchester Integrated Care Board,E40000010,North West,JUL2023,Attended,GP,Face-to-Face,2 to 7 Days,4642
00T,E38000016,NHS Greater Manchester ICB - 00T,E54000057,NHS Greater Manchester Integrated Care Board,E40000010,North West,JUL2023,Attended,GP,Face-to-Face,22  to 28 Days,2005
00T,E38000016,NHS Greater Manchester ICB - 00T,E54000057,NHS Greater Manchester Integrated Care Board,E40000010,North West,JUL2023,Attended,GP,Face-to-Face,8  to 14 Days,2953
00T,E38000016,NHS Greater Manchester ICB - 00T,E54000057,NHS Greater Manchester Integrated Care Board,E40000010,North West,JUL2023,Attended,GP,Face-to-Face,More than 28 Days,1115
00T,E38000016,NHS Greater Manchester ICB - 00T,E54000057,NHS Greater Manchester Integrated Care Board,E40000010,North West,JUL2023,Attended,GP,Face-to-Face,Same Day,20539
00T,E38000016,NHS Greater Manchester ICB - 00T,E54000057,NHS Greater Manchester Integrated Care Board,E40000010,North West,JUL2023,Attended,GP,Face-to-Face,Unknown / Data Quality,4
00T,E38000016,NHS Greater Manchester ICB - 00T,E54000057,NHS Greater Manchester Integrated Care Board,E40000010,North West,JUL2023,Attended,GP,Home Visit,1 Day,88
00T,E38000016,NHS Greater Manchester ICB - 00T,E54000057,NHS Greater Manchester Integrated Care Board,E40000010,North West,JUL2023,Attended,GP,Home Visit,15  to 21 Days,8
