SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Face-to-Face,1 Day,2229
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Face-to-Face,15  to 21 Days,2715
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Face-to-Face,2 to 7 Days,4896
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Face-to-Face,22  to 28 Days,1862
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Face-to-Face,8  to 14 Days,4408
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Face-to-Face,More than 28 Days,935
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Face-to-Face,Same Day,19351
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Face-to-Face,Unknown / Data Quality,2
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Home Visit,1 Day,80
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Home Visit,15  to 21 Days,15
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Home Visit,2 to 7 Days,52
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Home Visit,22  to 28 Days,23
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Home Visit,8  to 14 Days,28
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Home Visit,Same Day,416
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Home Visit,Unknown / Data Quality,1
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Telephone,1 Day,1190
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Telephone,15  to 21 Days,730
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Telephone,2 to 7 Days,2165
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Telephone,22  to 28 Days,308
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Telephone,8  to 14 Days,1122
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Telephone,More than 28 Days,135
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Telephone,Same Day,12175
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Telephone,Unknown / Data Quality,5
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Unknown,15  to 21 Days,1
02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,JUL2023,Attended,GP,Unknown,2 to 7 Days,2
