SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
06Q,E38000106,NHS Mid and South Essex ICB - 06Q,E54000026,NHS Mid and South Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Face-to-Face,1 Day,2664
06Q,E38000106,NHS Mid and South Essex ICB - 06Q,E54000026,NHS Mid and South Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Face-to-Face,15  to 21 Days,2395
06Q,E38000106,NHS Mid and South Essex ICB - 06Q,E54000026,NHS Mid and South Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Face-to-Face,2 to 7 Days,7036
06Q,E38000106,NHS Mid and South Essex ICB - 06Q,E54000026,NHS Mid and South Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Face-to-Face,22  to 28 Days,1391
06Q,E38000106,NHS Mid and South Essex ICB - 06Q,E54000026,NHS Mid and South Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Face-to-Face,8  to 14 Days,4323
06Q,E38000106,NHS Mid and South Essex ICB - 06Q,E54000026,NHS Mid and South Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Face-to-Face,More than 28 Days,1143
06Q,E38000106,NHS Mid and South Essex ICB - 06Q,E54000026,NHS Mid and South Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Face-to-Face,Same Day,25737
06Q,E38000106,NHS Mid and South Essex ICB - 06Q,E54000026,NHS Mid and South Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Face-to-Face,Unknown / Data Quality,1
06Q,E38000106,NHS Mid and South Essex ICB - 06Q,E54000026,NHS Mid and South Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Home Visit,1 Day,204
06Q,E38000106,NHS Mid and South Essex ICB - 06Q,E54000026,NHS Mid and South Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Home Visit,15  to 21 Days,1
06Q,E38000106,NHS Mid and South Essex ICB - 06Q,E54000026,NHS Mid and South Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Home Visit,2 to 7 Days,66
06Q,E38000106,NHS Mid and South Essex ICB - 06Q,E54000026,NHS Mid and South Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Home Visit,22  to 28 Days,4
