SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
71E,E38000238,NHS Lincolnshire ICB - 71E,E54000013,NHS Lincolnshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Face-to-Face,1 Day,6532
71E,E38000238,NHS Lincolnshire ICB - 71E,E54000013,NHS Lincolnshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Face-to-Face,15  to 21 Days,2388
71E,E38000238,NHS Lincolnshire ICB - 71E,E54000013,NHS Lincolnshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Face-to-Face,2 to 7 Days,9265
71E,E38000238,NHS Lincolnshire ICB - 71E,E54000013,NHS Lincolnshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Face-to-Face,22  to 28 Days,1215
71E,E38000238,NHS Lincolnshire ICB - 71E,E54000013,NHS Lincolnshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Face-to-Face,8  to 14 Days,4418
71E,E38000238,NHS Lincolnshire ICB - 71E,E54000013,NHS Lincolnshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Face-to-Face,More than 28 Days,1114
71E,E38000238,NHS Lincolnshire ICB - 71E,E54000013,NHS Lincolnshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Face-to-Face,Same Day,53300
71E,E38000238,NHS Lincolnshire ICB - 71E,E54000013,NHS Lincolnshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Face-to-Face,Unknown / Data Quality,77
71E,E38000238,NHS Lincolnshire ICB - 71E,E54000013,NHS Lincolnshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Home Visit,1 Day,22
71E,E38000238,NHS Lincolnshire ICB - 71E,E54000013,NHS Lincolnshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Home Visit,15  to 21 Days,1
71E,E38000238,NHS Lincolnshire ICB - 71E,E54000013,NHS Lincolnshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Home Visit,2 to 7 Days,16
71E,E38000238,NHS Lincolnshire ICB - 71E,E54000013,NHS Lincolnshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Home Visit,8  to 14 Days,1
71E,E38000238,NHS Lincolnshire ICB - 71E,E54000013,NHS Lincolnshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Home Visit,Same Day,225
71E,E38000238,NHS Lincolnshire ICB - 71E,E54000013,NHS Lincolnshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Home Visit,Unknown / Data Quality,11
71E,E38000238,NHS Lincolnshire ICB - 71E,E54000013,NHS Lincolnshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Telephone,1 Day,3238
71E,E38000238,NHS Lincolnshire ICB - 71E,E54000013,NHS Lincolnshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Telephone,15  to 21 Days,1365
71E,E38000238,NHS Lincolnshire ICB - 71E,E54000013,NHS Lincolnshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Telephone,2 to 7 Days,5834
71E,E38000238,NHS Lincolnshire ICB - 71E,E54000013,NHS Lincolnshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Telephone,22  to 28 Days,559
71E,E38000238,NHS Lincolnshire ICB - 71E,E54000013,NHS Lincolnshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Telephone,8  to 14 Days,3088
71E,E38000238,NHS Lincolnshire ICB - 71E,E54000013,NHS Lincolnshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Telephone,More than 28 Days,226
71E,E38000238,NHS Lincolnshire ICB - 71E,E54000013,NHS Lincolnshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Telephone,Same Day,38499
