SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Face-to-Face,1 Day,28401
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Face-to-Face,15  to 21 Days,7626
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Face-to-Face,2 to 7 Days,51283
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Face-to-Face,22  to 28 Days,4336
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Face-to-Face,8  to 14 Days,18621
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Face-to-Face,More than 28 Days,3804
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Face-to-Face,Same Day,133288
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Face-to-Face,Unknown / Data Quality,240
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Home Visit,1 Day,449
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Home Visit,15  to 21 Days,21
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Home Visit,2 to 7 Days,332
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Home Visit,22  to 28 Days,28
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Home Visit,8  to 14 Days,120
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Home Visit,More than 28 Days,95
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Home Visit,Same Day,1229
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Home Visit,Unknown / Data Quality,15
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Telephone,1 Day,20689
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Telephone,15  to 21 Days,7006
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Telephone,2 to 7 Days,37315
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Telephone,22  to 28 Days,2956
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Telephone,8  to 14 Days,16470
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Telephone,More than 28 Days,1525
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Telephone,Same Day,119439
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Telephone,Unknown / Data Quality,1508
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Unknown,1 Day,40
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Unknown,15  to 21 Days,98
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Unknown,2 to 7 Days,89
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Unknown,22  to 28 Days,31
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Unknown,8  to 14 Days,213
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Unknown,More than 28 Days,16
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Unknown,Same Day,259
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Video/Online,1 Day,169
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Video/Online,15  to 21 Days,35
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Video/Online,2 to 7 Days,553
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Video/Online,22  to 28 Days,27
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Video/Online,8  to 14 Days,296
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Video/Online,More than 28 Days,1
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Video/Online,Same Day,1020
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,Other Practice staff,Face-to-Face,1 Day,23353
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,17039
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,71074
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,9209
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,42179
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,Other Practice staff,Face-to-Face,More than 28 Days,6212
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,Other Practice staff,Face-to-Face,Same Day,58387
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,Other Practice staff,Face-to-Face,Unknown / Data Quality,135
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,AUG2022,Attended,Other Practice staff,Home Visit,1 Day,157
