SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Face-to-Face,1 Day,6588
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Face-to-Face,15  to 21 Days,3481
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Face-to-Face,2 to 7 Days,12472
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Face-to-Face,22  to 28 Days,2468
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Face-to-Face,8  to 14 Days,5995
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Face-to-Face,More than 28 Days,2105
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Face-to-Face,Same Day,49670
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Face-to-Face,Unknown / Data Quality,30
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Home Visit,1 Day,65
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Home Visit,15  to 21 Days,1
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Home Visit,2 to 7 Days,53
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Home Visit,22  to 28 Days,1
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Home Visit,8  to 14 Days,4
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Home Visit,Same Day,169
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Home Visit,Unknown / Data Quality,1
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Telephone,1 Day,4869
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Telephone,15  to 21 Days,2510
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Telephone,2 to 7 Days,8147
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Telephone,22  to 28 Days,1444
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Telephone,8  to 14 Days,4986
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Telephone,More than 28 Days,732
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Telephone,Same Day,48357
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Telephone,Unknown / Data Quality,2
78H,E38000262,NHS Northamptonshire ICB - 78H,E54000059,NHS Northamptonshire Integrated Care Board,E40000011,Midlands,AUG2022,Attended,GP,Video/Online,1 Day,30
