SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Face-to-Face,1 Day,15346
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Face-to-Face,15  to 21 Days,10395
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Face-to-Face,2 to 7 Days,32431
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Face-to-Face,22  to 28 Days,5341
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Face-to-Face,8  to 14 Days,17220
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Face-to-Face,More than 28 Days,3111
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Face-to-Face,Same Day,103783
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Face-to-Face,Unknown / Data Quality,61
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Home Visit,1 Day,215
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Home Visit,15  to 21 Days,27
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Home Visit,2 to 7 Days,285
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Home Visit,22  to 28 Days,14
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Home Visit,8  to 14 Days,70
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Home Visit,More than 28 Days,6
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Home Visit,Same Day,1232
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Home Visit,Unknown / Data Quality,97
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Telephone,1 Day,11555
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Telephone,15  to 21 Days,6266
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Telephone,2 to 7 Days,24039
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Telephone,22  to 28 Days,3240
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Telephone,8  to 14 Days,13343
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Telephone,More than 28 Days,1274
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Telephone,Same Day,104197
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Telephone,Unknown / Data Quality,12
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Unknown,1 Day,259
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Unknown,15  to 21 Days,330
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Unknown,2 to 7 Days,796
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Unknown,22  to 28 Days,143
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Unknown,8  to 14 Days,983
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Unknown,More than 28 Days,104
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Unknown,Same Day,2491
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Unknown,Unknown / Data Quality,31
36L,E38000245,NHS South West London ICB - 36L,E54000031,NHS South West London Integrated Care Board,E40000003,London,AUG2022,Attended,GP,Video/Online,1 Day,5
