SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E40000011,Midlands,FEB2022,Attended,GP,Face-to-Face,1 Day,7862
18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E40000011,Midlands,FEB2022,Attended,GP,Face-to-Face,15  to 21 Days,3237
18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E40000011,Midlands,FEB2022,Attended,GP,Face-to-Face,2 to 7 Days,14892
18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E40000011,Midlands,FEB2022,Attended,GP,Face-to-Face,22  to 28 Days,1477
18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E40000011,Midlands,FEB2022,Attended,GP,Face-to-Face,8  to 14 Days,8130
18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E40000011,Midlands,FEB2022,Attended,GP,Face-to-Face,More than 28 Days,518
18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E40000011,Midlands,FEB2022,Attended,GP,Face-to-Face,Same Day,47599
18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E40000011,Midlands,FEB2022,Attended,GP,Face-to-Face,Unknown / Data Quality,17
18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E40000011,Midlands,FEB2022,Attended,GP,Home Visit,1 Day,305
18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E40000011,Midlands,FEB2022,Attended,GP,Home Visit,15  to 21 Days,7
18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E40000011,Midlands,FEB2022,Attended,GP,Home Visit,2 to 7 Days,241
18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E40000011,Midlands,FEB2022,Attended,GP,Home Visit,8  to 14 Days,33
18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E40000011,Midlands,FEB2022,Attended,GP,Home Visit,More than 28 Days,1
18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E40000011,Midlands,FEB2022,Attended,GP,Home Visit,Same Day,1351
18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E40000011,Midlands,FEB2022,Attended,GP,Home Visit,Unknown / Data Quality,1
18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E40000011,Midlands,FEB2022,Attended,GP,Telephone,1 Day,6680
18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E40000011,Midlands,FEB2022,Attended,GP,Telephone,15  to 21 Days,2717
18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E40000011,Midlands,FEB2022,Attended,GP,Telephone,2 to 7 Days,14918
18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E40000011,Midlands,FEB2022,Attended,GP,Telephone,22  to 28 Days,1716
18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E40000011,Midlands,FEB2022,Attended,GP,Telephone,8  to 14 Days,7482
