SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Face-to-Face,1 Day,28402
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Face-to-Face,15  to 21 Days,6350
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Face-to-Face,2 to 7 Days,50690
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Face-to-Face,22  to 28 Days,2835
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Face-to-Face,8  to 14 Days,15988
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Face-to-Face,More than 28 Days,1678
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Face-to-Face,Same Day,114752
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Face-to-Face,Unknown / Data Quality,287
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Home Visit,1 Day,407
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Home Visit,15  to 21 Days,14
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Home Visit,2 to 7 Days,676
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Home Visit,22  to 28 Days,21
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Home Visit,8  to 14 Days,36
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Home Visit,More than 28 Days,110
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Home Visit,Same Day,1054
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Home Visit,Unknown / Data Quality,7
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Telephone,1 Day,26265
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Telephone,15  to 21 Days,6980
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Telephone,2 to 7 Days,48627
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Telephone,22  to 28 Days,2818
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Telephone,8  to 14 Days,17927
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Telephone,More than 28 Days,957
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Telephone,Same Day,130628
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Telephone,Unknown / Data Quality,1796
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Unknown,1 Day,47
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Unknown,15  to 21 Days,42
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Unknown,2 to 7 Days,72
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Unknown,22  to 28 Days,34
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Unknown,8  to 14 Days,215
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Unknown,More than 28 Days,2
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Unknown,Same Day,257
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Video/Online,1 Day,232
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Video/Online,15  to 21 Days,16
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Video/Online,2 to 7 Days,238
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Video/Online,22  to 28 Days,18
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Video/Online,8  to 14 Days,21
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Video/Online,More than 28 Days,13
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,GP,Video/Online,Same Day,948
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Face-to-Face,1 Day,20488
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,11992
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,64096
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,6959
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,32977
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Face-to-Face,More than 28 Days,3173
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Face-to-Face,Same Day,48348
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Face-to-Face,Unknown / Data Quality,43
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Home Visit,1 Day,220
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Home Visit,15  to 21 Days,27
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Home Visit,2 to 7 Days,300
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Home Visit,22  to 28 Days,10
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Home Visit,8  to 14 Days,95
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Home Visit,More than 28 Days,10
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Home Visit,Same Day,266
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Home Visit,Unknown / Data Quality,7
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Telephone,1 Day,12388
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Telephone,15  to 21 Days,2206
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Telephone,2 to 7 Days,20194
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Telephone,22  to 28 Days,1048
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Telephone,8  to 14 Days,6641
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Telephone,More than 28 Days,640
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Telephone,Same Day,40240
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Telephone,Unknown / Data Quality,817
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Unknown,1 Day,24
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Unknown,15  to 21 Days,5
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Unknown,2 to 7 Days,35
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Unknown,22  to 28 Days,2
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Unknown,8  to 14 Days,8
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Unknown,More than 28 Days,11
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Unknown,Same Day,30
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Video/Online,1 Day,4
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Video/Online,2 to 7 Days,13
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Video/Online,8  to 14 Days,9
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Other Practice staff,Video/Online,Same Day,90
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Unknown,Face-to-Face,1 Day,175
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Unknown,Face-to-Face,15  to 21 Days,1
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Unknown,Face-to-Face,2 to 7 Days,100
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Unknown,Face-to-Face,22  to 28 Days,2
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Unknown,Face-to-Face,8  to 14 Days,9
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Unknown,Face-to-Face,Same Day,3687
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Unknown,Telephone,1 Day,265
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Unknown,Telephone,2 to 7 Days,102
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Unknown,Telephone,8  to 14 Days,1
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Unknown,Telephone,Same Day,1620
A3A8R,E38000255,NHS North East London ICB - A3A8R,E54000029,NHS North East London Integrated Care Board,E40000003,London,FEB2022,Attended,Unknown,Telephone,Unknown / Data Quality,2
