CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_CODE,STPNM,REGIONAL_LOCAL_OFFICE_ONS_CODE,REGIONAL_LOCAL_OFFICE_NAME,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
03T,E38000099,NHS Lincolnshire East CCG,E54000013,Lincolnshire  STP,E39000045,NHS England Midlands (Central Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Face-to-Face,1 Day,1745
03T,E38000099,NHS Lincolnshire East CCG,E54000013,Lincolnshire  STP,E39000045,NHS England Midlands (Central Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Face-to-Face,15  to 21 Days,1690
03T,E38000099,NHS Lincolnshire East CCG,E54000013,Lincolnshire  STP,E39000045,NHS England Midlands (Central Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Face-to-Face,2 to 7 Days,4648
03T,E38000099,NHS Lincolnshire East CCG,E54000013,Lincolnshire  STP,E39000045,NHS England Midlands (Central Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Face-to-Face,22  to 28 Days,953
03T,E38000099,NHS Lincolnshire East CCG,E54000013,Lincolnshire  STP,E39000045,NHS England Midlands (Central Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Face-to-Face,8  to 14 Days,2699
03T,E38000099,NHS Lincolnshire East CCG,E54000013,Lincolnshire  STP,E39000045,NHS England Midlands (Central Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Face-to-Face,More than 28 Days,825
03T,E38000099,NHS Lincolnshire East CCG,E54000013,Lincolnshire  STP,E39000045,NHS England Midlands (Central Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Face-to-Face,Same Day,18544
03T,E38000099,NHS Lincolnshire East CCG,E54000013,Lincolnshire  STP,E39000045,NHS England Midlands (Central Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Face-to-Face,Unknown / Data Issue,13
03T,E38000099,NHS Lincolnshire East CCG,E54000013,Lincolnshire  STP,E39000045,NHS England Midlands (Central Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Telephone,1 Day,374
03T,E38000099,NHS Lincolnshire East CCG,E54000013,Lincolnshire  STP,E39000045,NHS England Midlands (Central Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Telephone,15  to 21 Days,39
03T,E38000099,NHS Lincolnshire East CCG,E54000013,Lincolnshire  STP,E39000045,NHS England Midlands (Central Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Telephone,2 to 7 Days,597
