CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_CODE,STPNM,REGIONAL_LOCAL_OFFICE_ONS_CODE,REGIONAL_LOCAL_OFFICE_NAME,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,1 Day,2595
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,15  to 21 Days,2636
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,2 to 7 Days,8549
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,22  to 28 Days,1710
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,8  to 14 Days,5103
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,More than 28 Days,1158
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,Same Day,17331
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Home Visit,1 Day,36
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Home Visit,15  to 21 Days,2
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Home Visit,2 to 7 Days,18
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Home Visit,22  to 28 Days,1
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Home Visit,8  to 14 Days,1
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Home Visit,Same Day,300
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Home Visit,Unknown / Data Issue,2
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Telephone,1 Day,854
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Telephone,15  to 21 Days,155
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Telephone,2 to 7 Days,2234
