CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_CODE,STPNM,REGIONAL_LOCAL_OFFICE_ONS_CODE,REGIONAL_LOCAL_OFFICE_NAME,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Face-to-Face,1 Day,2453
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Face-to-Face,15  to 21 Days,1674
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Face-to-Face,2 to 7 Days,4936
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Face-to-Face,22  to 28 Days,1568
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Face-to-Face,8  to 14 Days,2355
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Face-to-Face,More than 28 Days,1189
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Face-to-Face,Same Day,23051
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Home Visit,1 Day,1
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Home Visit,2 to 7 Days,2
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Home Visit,Same Day,91
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Telephone,1 Day,714
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Telephone,15  to 21 Days,80
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Telephone,2 to 7 Days,1711
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Telephone,22  to 28 Days,18
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Telephone,8  to 14 Days,330
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Telephone,More than 28 Days,8
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Telephone,Same Day,4078
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Telephone,Unknown / Data Issue,2
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Video/Online,1 Day,15
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Video/Online,15  to 21 Days,42
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Video/Online,2 to 7 Days,128
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Video/Online,22  to 28 Days,1
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Video/Online,8  to 14 Days,87
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Video/Online,More than 28 Days,1
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,GP,Video/Online,Same Day,68
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,1 Day,4687
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,6087
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,16323
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,4460
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,12071
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,More than 28 Days,6438
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,Same Day,20416
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,Unknown / Data Issue,1
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,1 Day,967
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,15  to 21 Days,89
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,2 to 7 Days,1105
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,22  to 28 Days,44
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,8  to 14 Days,197
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,More than 28 Days,49
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,Same Day,4873
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,Other Practice staff,Video/Online,1 Day,28
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,Other Practice staff,Video/Online,15  to 21 Days,47
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,Other Practice staff,Video/Online,2 to 7 Days,59
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,Other Practice staff,Video/Online,22  to 28 Days,40
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,Other Practice staff,Video/Online,8  to 14 Days,107
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,Other Practice staff,Video/Online,More than 28 Days,23
04F,E38000107,NHS Milton Keynes CCG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E39000046,NHS England East of England (East),E40000007,East of England Commissioning Region,JAN2018,Attended,Other Practice staff,Video/Online,Same Day,149
