CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_CODE,STPNM,REGIONAL_LOCAL_OFFICE_ONS_CODE,REGIONAL_LOCAL_OFFICE_NAME,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E39000037,NHS England North West (Greater Manchester),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,1 Day,1373
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E39000037,NHS England North West (Greater Manchester),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,15  to 21 Days,919
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E39000037,NHS England North West (Greater Manchester),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,2 to 7 Days,5023
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E39000037,NHS England North West (Greater Manchester),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,22  to 28 Days,608
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E39000037,NHS England North West (Greater Manchester),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,8  to 14 Days,2195
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E39000037,NHS England North West (Greater Manchester),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,More than 28 Days,526
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E39000037,NHS England North West (Greater Manchester),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,Same Day,13406
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E39000037,NHS England North West (Greater Manchester),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Home Visit,1 Day,3
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E39000037,NHS England North West (Greater Manchester),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Home Visit,Same Day,10
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E39000037,NHS England North West (Greater Manchester),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Telephone,1 Day,553
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E39000037,NHS England North West (Greater Manchester),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Telephone,15  to 21 Days,31
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E39000037,NHS England North West (Greater Manchester),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Telephone,2 to 7 Days,663
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E39000037,NHS England North West (Greater Manchester),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Telephone,22  to 28 Days,11
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E39000037,NHS England North West (Greater Manchester),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Telephone,8  to 14 Days,101
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E39000037,NHS England North West (Greater Manchester),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Telephone,More than 28 Days,8
00T,E38000016,NHS Bolton CCG,E54000007,Greater Manchester Health And Social Care Partnership  STP,E39000037,NHS England North West (Greater Manchester),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Telephone,Same Day,2428
