CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_CODE,STPNM,REGIONAL_LOCAL_OFFICE_ONS_CODE,REGIONAL_LOCAL_OFFICE_NAME,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Face-to-Face,1 Day,1911
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Face-to-Face,15  to 21 Days,978
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Face-to-Face,2 to 7 Days,3565
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Face-to-Face,22  to 28 Days,447
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Face-to-Face,8  to 14 Days,2195
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Face-to-Face,More than 28 Days,325
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Face-to-Face,Same Day,12634
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Home Visit,1 Day,10
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Home Visit,15  to 21 Days,1
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Home Visit,2 to 7 Days,2
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Home Visit,8  to 14 Days,1
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Home Visit,Same Day,162
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Telephone,1 Day,581
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Telephone,15  to 21 Days,31
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Telephone,2 to 7 Days,828
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Telephone,22  to 28 Days,13
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Telephone,8  to 14 Days,100
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Telephone,More than 28 Days,4
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Telephone,Same Day,9834
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,1 Day,914
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,1592
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,4731
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,1150
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,3043
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,More than 28 Days,1242
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,Same Day,2117
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Home Visit,15  to 21 Days,1
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Home Visit,Same Day,5
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,1 Day,28
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,15  to 21 Days,1
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,2 to 7 Days,21
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,22  to 28 Days,1
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,8  to 14 Days,3
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,Same Day,265
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,Attended,Unknown,Home Visit,Same Day,2
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Face-to-Face,1 Day,61
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Face-to-Face,15  to 21 Days,67
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Face-to-Face,2 to 7 Days,189
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Face-to-Face,22  to 28 Days,18
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Face-to-Face,8  to 14 Days,126
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Face-to-Face,More than 28 Days,28
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Face-to-Face,Same Day,270
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Home Visit,Same Day,4
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Telephone,1 Day,21
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Telephone,2 to 7 Days,22
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Telephone,8  to 14 Days,7
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Telephone,Same Day,164
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,1 Day,47
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,15  to 21 Days,112
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,2 to 7 Days,243
10C,E38000178,NHS Surrey Heath CCG,E54000034,Frimley Health And Care Ics  STP,E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",E40000005,South East Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,22  to 28 Days,66
