CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_CODE,STPNM,REGIONAL_LOCAL_OFFICE_ONS_CODE,REGIONAL_LOCAL_OFFICE_NAME,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Face-to-Face,1 Day,2045
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Face-to-Face,15  to 21 Days,838
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Face-to-Face,2 to 7 Days,4564
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Face-to-Face,22  to 28 Days,510
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Face-to-Face,8  to 14 Days,2655
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Face-to-Face,More than 28 Days,737
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Face-to-Face,Same Day,15510
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Home Visit,1 Day,66
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Home Visit,15  to 21 Days,3
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Home Visit,2 to 7 Days,31
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Home Visit,8  to 14 Days,3
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Home Visit,Same Day,861
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Telephone,1 Day,527
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Telephone,15  to 21 Days,69
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Telephone,2 to 7 Days,1523
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Telephone,22  to 28 Days,15
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Telephone,8  to 14 Days,286
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Telephone,More than 28 Days,7
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,GP,Telephone,Same Day,13906
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,1 Day,1965
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,2154
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,8030
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,1685
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,4488
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,More than 28 Days,2126
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,Same Day,8958
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,Unknown / Data Issue,1
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Home Visit,1 Day,8
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Home Visit,2 to 7 Days,8
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Home Visit,8  to 14 Days,3
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Home Visit,Same Day,37
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,1 Day,44
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,15  to 21 Days,3
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,2 to 7 Days,62
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,22  to 28 Days,6
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,8  to 14 Days,20
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,More than 28 Days,7
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,Same Day,801
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Face-to-Face,1 Day,122
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Face-to-Face,15  to 21 Days,58
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Face-to-Face,2 to 7 Days,221
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Face-to-Face,22  to 28 Days,27
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Face-to-Face,8  to 14 Days,162
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Face-to-Face,More than 28 Days,54
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Face-to-Face,Same Day,339
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Face-to-Face,Unknown / Data Issue,2
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Home Visit,1 Day,1
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Home Visit,15  to 21 Days,1
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Home Visit,Same Day,1
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Telephone,1 Day,13
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Telephone,15  to 21 Days,1
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Telephone,2 to 7 Days,23
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Telephone,22  to 28 Days,1
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Telephone,8  to 14 Days,2
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,GP,Telephone,Same Day,251
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,1 Day,82
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,15  to 21 Days,180
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,2 to 7 Days,476
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,22  to 28 Days,152
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,8  to 14 Days,328
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,More than 28 Days,221
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,Same Day,99
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,Other Practice staff,Telephone,1 Day,2
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,Other Practice staff,Telephone,2 to 7 Days,3
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,Other Practice staff,Telephone,8  to 14 Days,1
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,DNA,Other Practice staff,Telephone,Same Day,22
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Unknown,GP,Face-to-Face,1 Day,27
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Unknown,GP,Face-to-Face,15  to 21 Days,7
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Unknown,GP,Face-to-Face,2 to 7 Days,25
09C,E38000002,NHS Ashford CCG,E54000032,Kent And Medway  STP,E39000042,"NHS England South East (Kent, Surrey and Sussex)",E40000005,South East Commissioning Region,JAN2018,Unknown,GP,Face-to-Face,22  to 28 Days,1
