CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_CODE,STPNM,REGIONAL_LOCAL_OFFICE_ONS_CODE,REGIONAL_LOCAL_OFFICE_NAME,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,1 Day,2516
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,15  to 21 Days,950
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,2 to 7 Days,8073
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,22  to 28 Days,472
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,8  to 14 Days,3403
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,More than 28 Days,250
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,Same Day,17965
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Home Visit,1 Day,74
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Home Visit,2 to 7 Days,34
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Home Visit,22  to 28 Days,2
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Home Visit,8  to 14 Days,1
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Home Visit,Same Day,464
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Telephone,1 Day,582
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Telephone,15  to 21 Days,11
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Telephone,2 to 7 Days,409
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Telephone,22  to 28 Days,8
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Telephone,8  to 14 Days,33
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Telephone,More than 28 Days,6
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,Attended,GP,Telephone,Same Day,2271
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,1 Day,2299
