CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_CODE,STPNM,REGIONAL_LOCAL_OFFICE_ONS_CODE,REGIONAL_LOCAL_OFFICE_NAME,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Face-to-Face,1 Day,2037
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Face-to-Face,15  to 21 Days,1108
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Face-to-Face,2 to 7 Days,8218
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Face-to-Face,22  to 28 Days,642
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Face-to-Face,8  to 14 Days,2648
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Face-to-Face,More than 28 Days,263
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Face-to-Face,Same Day,14335
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Face-to-Face,Unknown / Data Issue,8
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Home Visit,1 Day,35
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Home Visit,15  to 21 Days,1
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Home Visit,2 to 7 Days,35
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Home Visit,22  to 28 Days,3
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Home Visit,8  to 14 Days,4
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Home Visit,Same Day,57
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Home Visit,Unknown / Data Issue,4
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Telephone,1 Day,194
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Telephone,15  to 21 Days,42
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Telephone,2 to 7 Days,560
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Telephone,22  to 28 Days,22
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Telephone,8  to 14 Days,86
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Telephone,More than 28 Days,1
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Telephone,Same Day,1332
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Unknown,1 Day,152
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Unknown,15  to 21 Days,104
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Unknown,2 to 7 Days,372
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Unknown,22  to 28 Days,15
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Unknown,8  to 14 Days,156
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Unknown,More than 28 Days,3
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,GP,Unknown,Same Day,1255
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,1 Day,1342
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,774
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,5379
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,417
07L,E38000004,NHS Barking and Dagenham CCG,E54000029,East London Health And Care Partnership  STP,E39000018,NHS England London,E40000003,London Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,2446
