CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_CODE,STPNM,REGIONAL_LOCAL_OFFICE_ONS_CODE,REGIONAL_LOCAL_OFFICE_NAME,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
04E,E38000103,NHS Mansfield and Ashfield CCG,E54000014,Nottingham And Nottinghamshire Health And Care  STP,E39000032,NHS England Midlands (North Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Face-to-Face,1 Day,1297
04E,E38000103,NHS Mansfield and Ashfield CCG,E54000014,Nottingham And Nottinghamshire Health And Care  STP,E39000032,NHS England Midlands (North Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Face-to-Face,15  to 21 Days,1150
04E,E38000103,NHS Mansfield and Ashfield CCG,E54000014,Nottingham And Nottinghamshire Health And Care  STP,E39000032,NHS England Midlands (North Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Face-to-Face,2 to 7 Days,3536
04E,E38000103,NHS Mansfield and Ashfield CCG,E54000014,Nottingham And Nottinghamshire Health And Care  STP,E39000032,NHS England Midlands (North Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Face-to-Face,22  to 28 Days,1110
04E,E38000103,NHS Mansfield and Ashfield CCG,E54000014,Nottingham And Nottinghamshire Health And Care  STP,E39000032,NHS England Midlands (North Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Face-to-Face,8  to 14 Days,1865
04E,E38000103,NHS Mansfield and Ashfield CCG,E54000014,Nottingham And Nottinghamshire Health And Care  STP,E39000032,NHS England Midlands (North Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Face-to-Face,More than 28 Days,752
04E,E38000103,NHS Mansfield and Ashfield CCG,E54000014,Nottingham And Nottinghamshire Health And Care  STP,E39000032,NHS England Midlands (North Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Face-to-Face,Same Day,15791
04E,E38000103,NHS Mansfield and Ashfield CCG,E54000014,Nottingham And Nottinghamshire Health And Care  STP,E39000032,NHS England Midlands (North Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Telephone,1 Day,431
04E,E38000103,NHS Mansfield and Ashfield CCG,E54000014,Nottingham And Nottinghamshire Health And Care  STP,E39000032,NHS England Midlands (North Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Telephone,15  to 21 Days,48
04E,E38000103,NHS Mansfield and Ashfield CCG,E54000014,Nottingham And Nottinghamshire Health And Care  STP,E39000032,NHS England Midlands (North Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Telephone,2 to 7 Days,692
04E,E38000103,NHS Mansfield and Ashfield CCG,E54000014,Nottingham And Nottinghamshire Health And Care  STP,E39000032,NHS England Midlands (North Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Telephone,22  to 28 Days,19
04E,E38000103,NHS Mansfield and Ashfield CCG,E54000014,Nottingham And Nottinghamshire Health And Care  STP,E39000032,NHS England Midlands (North Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Telephone,8  to 14 Days,122
04E,E38000103,NHS Mansfield and Ashfield CCG,E54000014,Nottingham And Nottinghamshire Health And Care  STP,E39000032,NHS England Midlands (North Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Telephone,More than 28 Days,10
04E,E38000103,NHS Mansfield and Ashfield CCG,E54000014,Nottingham And Nottinghamshire Health And Care  STP,E39000032,NHS England Midlands (North Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Telephone,Same Day,5309
04E,E38000103,NHS Mansfield and Ashfield CCG,E54000014,Nottingham And Nottinghamshire Health And Care  STP,E39000032,NHS England Midlands (North Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Video/Online,1 Day,49
04E,E38000103,NHS Mansfield and Ashfield CCG,E54000014,Nottingham And Nottinghamshire Health And Care  STP,E39000032,NHS England Midlands (North Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Video/Online,15  to 21 Days,80
04E,E38000103,NHS Mansfield and Ashfield CCG,E54000014,Nottingham And Nottinghamshire Health And Care  STP,E39000032,NHS England Midlands (North Midlands),E40000008,Midlands Commissioning Region,JAN2018,Attended,GP,Video/Online,2 to 7 Days,146
