CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_CODE,STPNM,REGIONAL_LOCAL_OFFICE_ONS_CODE,REGIONAL_LOCAL_OFFICE_NAME,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E39000044,NHS England South West (South West South),E40000006,South West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,1 Day,6774
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E39000044,NHS England South West (South West South),E40000006,South West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,15  to 21 Days,5665
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E39000044,NHS England South West (South West South),E40000006,South West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,2 to 7 Days,20501
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E39000044,NHS England South West (South West South),E40000006,South West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,22  to 28 Days,3335
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E39000044,NHS England South West (South West South),E40000006,South West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,8  to 14 Days,12632
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E39000044,NHS England South West (South West South),E40000006,South West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,More than 28 Days,2100
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E39000044,NHS England South West (South West South),E40000006,South West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,Same Day,39637
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E39000044,NHS England South West (South West South),E40000006,South West Commissioning Region,JAN2018,Attended,GP,Face-to-Face,Unknown / Data Issue,4
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E39000044,NHS England South West (South West South),E40000006,South West Commissioning Region,JAN2018,Attended,GP,Home Visit,1 Day,39
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E39000044,NHS England South West (South West South),E40000006,South West Commissioning Region,JAN2018,Attended,GP,Home Visit,15  to 21 Days,2
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E39000044,NHS England South West (South West South),E40000006,South West Commissioning Region,JAN2018,Attended,GP,Home Visit,2 to 7 Days,29
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E39000044,NHS England South West (South West South),E40000006,South West Commissioning Region,JAN2018,Attended,GP,Home Visit,8  to 14 Days,3
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E39000044,NHS England South West (South West South),E40000006,South West Commissioning Region,JAN2018,Attended,GP,Home Visit,Same Day,260
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E39000044,NHS England South West (South West South),E40000006,South West Commissioning Region,JAN2018,Attended,GP,Telephone,1 Day,3314
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E39000044,NHS England South West (South West South),E40000006,South West Commissioning Region,JAN2018,Attended,GP,Telephone,15  to 21 Days,244
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E39000044,NHS England South West (South West South),E40000006,South West Commissioning Region,JAN2018,Attended,GP,Telephone,2 to 7 Days,4923
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E39000044,NHS England South West (South West South),E40000006,South West Commissioning Region,JAN2018,Attended,GP,Telephone,22  to 28 Days,82
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E39000044,NHS England South West (South West South),E40000006,South West Commissioning Region,JAN2018,Attended,GP,Telephone,8  to 14 Days,897
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E39000044,NHS England South West (South West South),E40000006,South West Commissioning Region,JAN2018,Attended,GP,Telephone,More than 28 Days,39
