CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_CODE,STPNM,REGIONAL_LOCAL_OFFICE_ONS_CODE,REGIONAL_LOCAL_OFFICE_NAME,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Face-to-Face,1 Day,1070
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Face-to-Face,15  to 21 Days,801
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Face-to-Face,2 to 7 Days,2873
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Face-to-Face,22  to 28 Days,635
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Face-to-Face,8  to 14 Days,1488
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Face-to-Face,More than 28 Days,828
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Face-to-Face,Same Day,9912
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Face-to-Face,Unknown / Data Issue,1
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Home Visit,1 Day,19
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Home Visit,15  to 21 Days,2
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Home Visit,2 to 7 Days,13
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Home Visit,22  to 28 Days,1
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Home Visit,8  to 14 Days,4
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Home Visit,More than 28 Days,1
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Home Visit,Same Day,59
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Telephone,1 Day,364
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Telephone,15  to 21 Days,28
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Telephone,2 to 7 Days,560
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Telephone,22  to 28 Days,14
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Telephone,8  to 14 Days,107
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Telephone,More than 28 Days,6
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Telephone,Same Day,1786
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Video/Online,2 to 7 Days,12
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Video/Online,8  to 14 Days,5
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,GP,Video/Online,Same Day,4
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,1 Day,3391
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,3244
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,9657
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,2341
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,5330
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,More than 28 Days,3718
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Face-to-Face,Same Day,17617
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Home Visit,1 Day,61
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Home Visit,15  to 21 Days,12
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Home Visit,2 to 7 Days,112
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Home Visit,22  to 28 Days,12
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Home Visit,8  to 14 Days,34
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Home Visit,More than 28 Days,14
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Home Visit,Same Day,133
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,1 Day,445
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,15  to 21 Days,236
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,2 to 7 Days,1110
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,22  to 28 Days,112
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,8  to 14 Days,457
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,More than 28 Days,115
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,Same Day,11103
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Telephone,Unknown / Data Issue,2
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Unknown,22  to 28 Days,1
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Unknown,More than 28 Days,1
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Unknown,Same Day,1
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Video/Online,1 Day,48
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Video/Online,15  to 21 Days,42
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Video/Online,2 to 7 Days,297
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Video/Online,22  to 28 Days,30
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Video/Online,8  to 14 Days,83
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Video/Online,More than 28 Days,18
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Other Practice staff,Video/Online,Same Day,40
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Unknown,Unknown,1 Day,451
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Unknown,Unknown,15  to 21 Days,150
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Unknown,Unknown,2 to 7 Days,947
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Unknown,Unknown,22  to 28 Days,85
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Unknown,Unknown,8  to 14 Days,263
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Unknown,Unknown,More than 28 Days,107
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Unknown,Unknown,Same Day,5131
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,Attended,Unknown,Unknown,Unknown / Data Issue,3
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,DNA,GP,Face-to-Face,1 Day,36
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,DNA,GP,Face-to-Face,15  to 21 Days,69
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,DNA,GP,Face-to-Face,2 to 7 Days,167
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,DNA,GP,Face-to-Face,22  to 28 Days,62
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,DNA,GP,Face-to-Face,8  to 14 Days,122
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,DNA,GP,Face-to-Face,More than 28 Days,65
02N,E38000001,NHS Airedale Wharfedale and Craven CCG,E54000005,West Yorkshire And Harrogate Health And Care Partnership  STP,E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),E40000009,North East and Yorkshire Commissioning Region,JAN2018,DNA,GP,Face-to-Face,Same Day,86
