SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Face-to-Face,1 Day,7774
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Face-to-Face,15  to 21 Days,7170
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Face-to-Face,2 to 7 Days,17505
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Face-to-Face,22  to 28 Days,4470
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Face-to-Face,8  to 14 Days,11430
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Face-to-Face,More than 28 Days,3665
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Face-to-Face,Same Day,45378
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Face-to-Face,Unknown / Data Quality,54
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Home Visit,1 Day,60
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Home Visit,15  to 21 Days,2
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Home Visit,2 to 7 Days,71
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Home Visit,22  to 28 Days,1
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Home Visit,8  to 14 Days,12
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Home Visit,More than 28 Days,6
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Home Visit,Same Day,300
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Home Visit,Unknown / Data Quality,27
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Telephone,1 Day,4064
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Telephone,15  to 21 Days,4747
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Telephone,2 to 7 Days,9574
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Telephone,22  to 28 Days,2041
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Telephone,8  to 14 Days,5592
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Telephone,More than 28 Days,1079
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Telephone,Same Day,36183
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Telephone,Unknown / Data Quality,8
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Video/Online,1 Day,21
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Video/Online,15  to 21 Days,6
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Video/Online,2 to 7 Days,45
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Video/Online,22  to 28 Days,1
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Video/Online,8  to 14 Days,58
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Video/Online,Same Day,20
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Face-to-Face,1 Day,9597
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,13673
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,36667
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,7888
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,29956
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Face-to-Face,More than 28 Days,9631
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Face-to-Face,Same Day,21977
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Face-to-Face,Unknown / Data Quality,23
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Home Visit,1 Day,38
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Home Visit,15  to 21 Days,11
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Home Visit,2 to 7 Days,159
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Home Visit,22  to 28 Days,11
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Home Visit,8  to 14 Days,54
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Home Visit,More than 28 Days,18
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Home Visit,Same Day,121
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Telephone,1 Day,2165
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Telephone,15  to 21 Days,1159
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Telephone,2 to 7 Days,3263
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Telephone,22  to 28 Days,812
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Telephone,8  to 14 Days,1678
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Telephone,More than 28 Days,671
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Telephone,Same Day,14889
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Telephone,Unknown / Data Quality,3
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Unknown,2 to 7 Days,2
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Unknown,8  to 14 Days,1
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Unknown,More than 28 Days,1
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Unknown,Same Day,2
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Video/Online,1 Day,156
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Video/Online,15  to 21 Days,8
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Video/Online,2 to 7 Days,45
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Video/Online,22  to 28 Days,5
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Video/Online,8  to 14 Days,41
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Video/Online,More than 28 Days,1
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Other Practice staff,Video/Online,Same Day,1045
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Unknown,Face-to-Face,1 Day,224
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Unknown,Face-to-Face,15  to 21 Days,26
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Unknown,Face-to-Face,2 to 7 Days,322
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Unknown,Face-to-Face,22  to 28 Days,2
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Unknown,Face-to-Face,8  to 14 Days,95
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Unknown,Face-to-Face,More than 28 Days,4
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Unknown,Face-to-Face,Same Day,997
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Unknown,Home Visit,1 Day,12
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Unknown,Home Visit,15  to 21 Days,1
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Unknown,Home Visit,2 to 7 Days,5
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Unknown,Home Visit,Same Day,28
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Unknown,Home Visit,Unknown / Data Quality,1
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Unknown,Telephone,1 Day,379
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Unknown,Telephone,15  to 21 Days,3
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Unknown,Telephone,2 to 7 Days,94
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Unknown,Telephone,22  to 28 Days,2
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Unknown,Telephone,8  to 14 Days,3
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Unknown,Telephone,More than 28 Days,1
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Unknown,Telephone,Same Day,903
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Unknown,Unknown,1 Day,1134
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Unknown,Unknown,15  to 21 Days,592
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,OCT2021,Attended,Unknown,Unknown,2 to 7 Days,2271
