SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Face-to-Face,1 Day,4109
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Face-to-Face,15  to 21 Days,2818
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Face-to-Face,2 to 7 Days,8837
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Face-to-Face,22  to 28 Days,1605
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Face-to-Face,8  to 14 Days,4331
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Face-to-Face,More than 28 Days,1623
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Face-to-Face,Same Day,20667
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Face-to-Face,Unknown / Data Quality,6
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Home Visit,1 Day,148
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Home Visit,15  to 21 Days,5
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,OCT2021,Attended,GP,Home Visit,2 to 7 Days,130
