SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Face-to-Face,1 Day,15025
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Face-to-Face,15  to 21 Days,8643
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Face-to-Face,2 to 7 Days,29437
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Face-to-Face,22  to 28 Days,4491
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Face-to-Face,8  to 14 Days,18849
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Face-to-Face,More than 28 Days,3201
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Face-to-Face,Same Day,113716
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Face-to-Face,Unknown / Data Quality,321
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Home Visit,1 Day,352
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Home Visit,15  to 21 Days,13
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Home Visit,2 to 7 Days,385
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Home Visit,22  to 28 Days,10
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Home Visit,8  to 14 Days,36
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Home Visit,More than 28 Days,5
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Home Visit,Same Day,1985
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Home Visit,Unknown / Data Quality,9
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Telephone,1 Day,7682
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Telephone,15  to 21 Days,3581
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Telephone,2 to 7 Days,16396
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Telephone,22  to 28 Days,1925
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Telephone,8  to 14 Days,8529
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Telephone,More than 28 Days,713
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Telephone,Same Day,48800
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Telephone,Unknown / Data Quality,8
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Unknown,1 Day,50
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Unknown,15  to 21 Days,18
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Unknown,2 to 7 Days,93
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Unknown,22  to 28 Days,5
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Unknown,8  to 14 Days,31
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Unknown,More than 28 Days,7
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Unknown,Same Day,1400
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Video/Online,1 Day,808
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Video/Online,15  to 21 Days,10
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Video/Online,2 to 7 Days,571
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Video/Online,22  to 28 Days,5
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Video/Online,8  to 14 Days,37
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Video/Online,More than 28 Days,5
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Video/Online,Same Day,7314
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Video/Online,Unknown / Data Quality,6
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Face-to-Face,1 Day,19211
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,27477
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,60063
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,18949
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,46005
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Face-to-Face,More than 28 Days,21323
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Face-to-Face,Same Day,69541
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Face-to-Face,Unknown / Data Quality,176
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Home Visit,1 Day,625
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Home Visit,15  to 21 Days,165
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Home Visit,2 to 7 Days,1107
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Home Visit,22  to 28 Days,121
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Home Visit,8  to 14 Days,214
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Home Visit,More than 28 Days,290
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Home Visit,Same Day,1674
D2P2L,E38000259,NHS Black Country ICB - D2P2L,E54000062,NHS Black Country Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Home Visit,Unknown / Data Quality,55
