SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Face-to-Face,1 Day,11958
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Face-to-Face,15  to 21 Days,10790
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Face-to-Face,2 to 7 Days,27734
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Face-to-Face,22  to 28 Days,8822
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Face-to-Face,8  to 14 Days,19032
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Face-to-Face,More than 28 Days,10967
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Face-to-Face,Same Day,94484
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Face-to-Face,Unknown / Data Quality,128
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Home Visit,1 Day,222
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Home Visit,15  to 21 Days,24
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Home Visit,2 to 7 Days,200
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Home Visit,22  to 28 Days,14
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Home Visit,8  to 14 Days,77
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Home Visit,More than 28 Days,13
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Home Visit,Same Day,922
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Home Visit,Unknown / Data Quality,1
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Telephone,1 Day,4403
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Telephone,15  to 21 Days,2865
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Telephone,2 to 7 Days,7844
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Telephone,22  to 28 Days,1580
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Telephone,8  to 14 Days,5119
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Telephone,More than 28 Days,849
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Telephone,Same Day,44649
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Telephone,Unknown / Data Quality,24
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Unknown,1 Day,234
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Unknown,15  to 21 Days,32
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Unknown,2 to 7 Days,154
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Unknown,22  to 28 Days,32
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Unknown,8  to 14 Days,52
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Unknown,More than 28 Days,44
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Unknown,Same Day,505
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Unknown,Unknown / Data Quality,117
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Video/Online,1 Day,1249
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Video/Online,15  to 21 Days,51
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Video/Online,2 to 7 Days,1031
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Video/Online,22  to 28 Days,22
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Video/Online,8  to 14 Days,82
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Video/Online,More than 28 Days,83
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Video/Online,Same Day,8724
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,GP,Video/Online,Unknown / Data Quality,8
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Face-to-Face,1 Day,14902
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,30467
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,50253
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,26444
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,41414
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Face-to-Face,More than 28 Days,52239
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Face-to-Face,Same Day,51515
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Face-to-Face,Unknown / Data Quality,512
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Home Visit,1 Day,449
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Home Visit,15  to 21 Days,179
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Home Visit,2 to 7 Days,845
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Home Visit,22  to 28 Days,186
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Home Visit,8  to 14 Days,392
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Home Visit,More than 28 Days,224
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Home Visit,Same Day,1074
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Home Visit,Unknown / Data Quality,122
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Telephone,1 Day,3711
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Telephone,15  to 21 Days,2636
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Telephone,2 to 7 Days,7089
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Telephone,22  to 28 Days,2357
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Telephone,8  to 14 Days,4432
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Telephone,More than 28 Days,3145
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Telephone,Same Day,18076
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Telephone,Unknown / Data Quality,8
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Unknown,1 Day,93
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Unknown,15  to 21 Days,152
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Unknown,2 to 7 Days,366
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Unknown,22  to 28 Days,157
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Unknown,8  to 14 Days,241
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Unknown,More than 28 Days,330
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Unknown,Same Day,303
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Video/Online,1 Day,746
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Video/Online,15  to 21 Days,62
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Video/Online,2 to 7 Days,524
15M,E38000261,NHS Derby and Derbyshire ICB - 15M,E54000058,NHS Derby and Derbyshire Integrated Care Board,E40000011,Midlands,OCT2023,Attended,Other Practice staff,Video/Online,22  to 28 Days,35
