SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Face-to-Face,1 Day,12951
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Face-to-Face,15  to 21 Days,14615
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Face-to-Face,2 to 7 Days,30647
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Face-to-Face,22  to 28 Days,11680
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Face-to-Face,8  to 14 Days,21552
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Face-to-Face,More than 28 Days,13978
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Face-to-Face,Same Day,79267
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Face-to-Face,Unknown / Data Quality,103
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Home Visit,1 Day,252
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Home Visit,15  to 21 Days,16
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Home Visit,2 to 7 Days,373
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Home Visit,22  to 28 Days,7
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Home Visit,8  to 14 Days,49
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Home Visit,More than 28 Days,5
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Home Visit,Same Day,1329
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Home Visit,Unknown / Data Quality,17
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Telephone,1 Day,9316
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Telephone,15  to 21 Days,7825
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Telephone,2 to 7 Days,19055
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Telephone,22  to 28 Days,3445
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Telephone,8  to 14 Days,14651
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Telephone,More than 28 Days,1988
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Telephone,Same Day,76956
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Telephone,Unknown / Data Quality,11
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Unknown,1 Day,19
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Unknown,15  to 21 Days,10
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Unknown,2 to 7 Days,42
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Unknown,22  to 28 Days,8
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Unknown,8  to 14 Days,25
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Unknown,More than 28 Days,9
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Unknown,Same Day,246
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Video/Online,1 Day,1825
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Video/Online,15  to 21 Days,94
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Video/Online,2 to 7 Days,2106
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Video/Online,22  to 28 Days,51
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Video/Online,8  to 14 Days,380
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Video/Online,More than 28 Days,112
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Video/Online,Same Day,7485
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,GP,Video/Online,Unknown / Data Quality,6
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Face-to-Face,1 Day,20171
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,38370
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,69010
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,31399
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,63298
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Face-to-Face,More than 28 Days,63153
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Face-to-Face,Same Day,65617
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Face-to-Face,Unknown / Data Quality,149
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Home Visit,1 Day,485
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Home Visit,15  to 21 Days,74
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Home Visit,2 to 7 Days,728
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Home Visit,22  to 28 Days,38
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Home Visit,8  to 14 Days,158
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Home Visit,More than 28 Days,55
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Home Visit,Same Day,3014
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Home Visit,Unknown / Data Quality,55
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Telephone,1 Day,6443
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Telephone,15  to 21 Days,3070
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Telephone,2 to 7 Days,12941
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Telephone,22  to 28 Days,1699
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Telephone,8  to 14 Days,5441
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Telephone,More than 28 Days,1411
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Telephone,Same Day,47558
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Telephone,Unknown / Data Quality,22
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Unknown,1 Day,105
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Unknown,15  to 21 Days,33
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Unknown,2 to 7 Days,166
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Unknown,22  to 28 Days,44
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Unknown,8  to 14 Days,59
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Unknown,More than 28 Days,42
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Unknown,Same Day,1120
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Unknown,Unknown / Data Quality,9
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Video/Online,1 Day,1426
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Video/Online,15  to 21 Days,82
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,OCT2023,Attended,Other Practice staff,Video/Online,2 to 7 Days,1548
