SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E40000010,North West,OCT2023,Attended,GP,Face-to-Face,1 Day,2091
00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E40000010,North West,OCT2023,Attended,GP,Face-to-Face,15  to 21 Days,864
00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E40000010,North West,OCT2023,Attended,GP,Face-to-Face,2 to 7 Days,3151
00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E40000010,North West,OCT2023,Attended,GP,Face-to-Face,22  to 28 Days,552
00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E40000010,North West,OCT2023,Attended,GP,Face-to-Face,8  to 14 Days,2499
00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E40000010,North West,OCT2023,Attended,GP,Face-to-Face,More than 28 Days,477
00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E40000010,North West,OCT2023,Attended,GP,Face-to-Face,Same Day,16252
00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E40000010,North West,OCT2023,Attended,GP,Home Visit,1 Day,52
00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E40000010,North West,OCT2023,Attended,GP,Home Visit,2 to 7 Days,37
00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E40000010,North West,OCT2023,Attended,GP,Home Visit,8  to 14 Days,2
00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E40000010,North West,OCT2023,Attended,GP,Home Visit,Same Day,225
00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E40000010,North West,OCT2023,Attended,GP,Telephone,1 Day,721
00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E40000010,North West,OCT2023,Attended,GP,Telephone,15  to 21 Days,203
00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E40000010,North West,OCT2023,Attended,GP,Telephone,2 to 7 Days,1509
00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E40000010,North West,OCT2023,Attended,GP,Telephone,22  to 28 Days,173
00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E40000010,North West,OCT2023,Attended,GP,Telephone,8  to 14 Days,1067
00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E40000010,North West,OCT2023,Attended,GP,Telephone,More than 28 Days,48
00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E40000010,North West,OCT2023,Attended,GP,Telephone,Same Day,6046
00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E40000010,North West,OCT2023,Attended,GP,Video/Online,1 Day,11
