SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Face-to-Face,1 Day,2656
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Face-to-Face,15  to 21 Days,2544
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Face-to-Face,2 to 7 Days,5264
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Face-to-Face,22  to 28 Days,1652
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Face-to-Face,8  to 14 Days,4021
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Face-to-Face,More than 28 Days,1052
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Face-to-Face,Same Day,22292
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Face-to-Face,Unknown / Data Quality,6
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Home Visit,1 Day,29
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Home Visit,2 to 7 Days,37
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Home Visit,22  to 28 Days,1
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Home Visit,8  to 14 Days,18
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Home Visit,Same Day,176
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Telephone,1 Day,778
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Telephone,15  to 21 Days,1229
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Telephone,2 to 7 Days,2077
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Telephone,22  to 28 Days,609
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Telephone,8  to 14 Days,1611
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Telephone,More than 28 Days,237
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Telephone,Same Day,6082
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Telephone,Unknown / Data Quality,4
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Unknown,1 Day,69
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Unknown,15  to 21 Days,20
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Unknown,2 to 7 Days,122
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Unknown,22  to 28 Days,192
02P,E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,OCT2023,Attended,GP,Unknown,8  to 14 Days,8
