SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Face-to-Face,1 Day,3158
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Face-to-Face,15  to 21 Days,1613
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Face-to-Face,2 to 7 Days,5469
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Face-to-Face,22  to 28 Days,1151
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Face-to-Face,8  to 14 Days,2895
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Face-to-Face,More than 28 Days,3690
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Face-to-Face,Same Day,24621
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Face-to-Face,Unknown / Data Quality,10
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Home Visit,1 Day,93
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Home Visit,15  to 21 Days,18
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Home Visit,2 to 7 Days,130
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Home Visit,22  to 28 Days,3
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Home Visit,8  to 14 Days,19
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Home Visit,More than 28 Days,1
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Home Visit,Same Day,499
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Telephone,1 Day,2038
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Telephone,15  to 21 Days,688
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Telephone,2 to 7 Days,3822
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Telephone,22  to 28 Days,409
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Telephone,8  to 14 Days,1722
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Telephone,More than 28 Days,284
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Telephone,Same Day,20128
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Telephone,Unknown / Data Quality,1
06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E40000007,East of England,OCT2023,Attended,GP,Unknown,1 Day,20
