SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Face-to-Face,1 Day,2568
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Face-to-Face,15  to 21 Days,2906
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Face-to-Face,2 to 7 Days,6426
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Face-to-Face,22  to 28 Days,1794
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Face-to-Face,8  to 14 Days,5735
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Face-to-Face,More than 28 Days,2818
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Face-to-Face,Same Day,20103
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Face-to-Face,Unknown / Data Quality,32
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Home Visit,1 Day,17
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Home Visit,15  to 21 Days,1
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Home Visit,2 to 7 Days,11
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Home Visit,8  to 14 Days,6
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Home Visit,Same Day,65
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Telephone,1 Day,1958
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Telephone,15  to 21 Days,1027
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Telephone,2 to 7 Days,4057
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Telephone,22  to 28 Days,522
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Telephone,8  to 14 Days,2225
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Telephone,More than 28 Days,419
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Telephone,Same Day,11503
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Telephone,Unknown / Data Quality,9
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Unknown,1 Day,7
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Unknown,2 to 7 Days,10
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Unknown,8  to 14 Days,3
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Unknown,More than 28 Days,3
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Unknown,Same Day,3
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Video/Online,1 Day,150
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Video/Online,15  to 21 Days,10
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Video/Online,2 to 7 Days,110
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Video/Online,22  to 28 Days,4
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Video/Online,8  to 14 Days,39
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Video/Online,More than 28 Days,9
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,GP,Video/Online,Same Day,129
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,Other Practice staff,Face-to-Face,1 Day,3072
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,6950
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,9569
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,6327
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,9364
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,Other Practice staff,Face-to-Face,More than 28 Days,7256
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,Other Practice staff,Face-to-Face,Same Day,8909
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,Other Practice staff,Face-to-Face,Unknown / Data Quality,19
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,OCT2023,Attended,Other Practice staff,Home Visit,1 Day,50
