SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E40000010,North West,MAY2022,Attended,GP,Face-to-Face,1 Day,1286
01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E40000010,North West,MAY2022,Attended,GP,Face-to-Face,15  to 21 Days,609
01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E40000010,North West,MAY2022,Attended,GP,Face-to-Face,2 to 7 Days,2253
01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E40000010,North West,MAY2022,Attended,GP,Face-to-Face,22  to 28 Days,566
01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E40000010,North West,MAY2022,Attended,GP,Face-to-Face,8  to 14 Days,1110
01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E40000010,North West,MAY2022,Attended,GP,Face-to-Face,More than 28 Days,146
01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E40000010,North West,MAY2022,Attended,GP,Face-to-Face,Same Day,11383
01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E40000010,North West,MAY2022,Attended,GP,Face-to-Face,Unknown / Data Quality,1
01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E40000010,North West,MAY2022,Attended,GP,Home Visit,1 Day,20
01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E40000010,North West,MAY2022,Attended,GP,Home Visit,2 to 7 Days,17
01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E40000010,North West,MAY2022,Attended,GP,Home Visit,8  to 14 Days,2
01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E40000010,North West,MAY2022,Attended,GP,Home Visit,Same Day,127
01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E40000010,North West,MAY2022,Attended,GP,Telephone,1 Day,495
01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E40000010,North West,MAY2022,Attended,GP,Telephone,15  to 21 Days,352
01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E40000010,North West,MAY2022,Attended,GP,Telephone,2 to 7 Days,1441
01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E40000010,North West,MAY2022,Attended,GP,Telephone,22  to 28 Days,224
01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E40000010,North West,MAY2022,Attended,GP,Telephone,8  to 14 Days,1044
01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E40000010,North West,MAY2022,Attended,GP,Telephone,More than 28 Days,139
01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E40000010,North West,MAY2022,Attended,GP,Telephone,Same Day,6484
01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E40000010,North West,MAY2022,Attended,GP,Telephone,Unknown / Data Quality,4
01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E40000010,North West,MAY2022,Attended,GP,Video/Online,1 Day,1
01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E40000010,North West,MAY2022,Attended,GP,Video/Online,2 to 7 Days,11
