SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Face-to-Face,1 Day,15992
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Face-to-Face,15  to 21 Days,9513
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Face-to-Face,2 to 7 Days,31307
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Face-to-Face,22  to 28 Days,5591
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Face-to-Face,8  to 14 Days,18632
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Face-to-Face,More than 28 Days,4400
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Face-to-Face,Same Day,77059
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Face-to-Face,Unknown / Data Quality,24
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Home Visit,1 Day,218
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Home Visit,15  to 21 Days,5
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Home Visit,2 to 7 Days,278
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Home Visit,22  to 28 Days,2
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Home Visit,8  to 14 Days,62
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Home Visit,More than 28 Days,2
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Home Visit,Same Day,1308
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Home Visit,Unknown / Data Quality,3
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Telephone,1 Day,9566
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Telephone,15  to 21 Days,5920
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Telephone,2 to 7 Days,21060
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Telephone,22  to 28 Days,3056
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Telephone,8  to 14 Days,12989
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Telephone,More than 28 Days,1746
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Telephone,Same Day,77801
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Telephone,Unknown / Data Quality,40
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Video/Online,1 Day,727
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Video/Online,15  to 21 Days,332
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Video/Online,2 to 7 Days,896
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Video/Online,22  to 28 Days,143
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Video/Online,8  to 14 Days,722
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Video/Online,More than 28 Days,316
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Video/Online,Same Day,683
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,Other Practice staff,Face-to-Face,1 Day,20040
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,19190
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,63444
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,12948
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,44068
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,Other Practice staff,Face-to-Face,More than 28 Days,12490
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,Other Practice staff,Face-to-Face,Same Day,56974
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,Other Practice staff,Face-to-Face,Unknown / Data Quality,137
15N,E38000230,NHS Devon ICB - 15N,E54000037,NHS Devon Integrated Care Board,E40000006,South West,MAY2022,Attended,Other Practice staff,Home Visit,1 Day,207
