SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Face-to-Face,1 Day,9904
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Face-to-Face,15  to 21 Days,8792
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Face-to-Face,2 to 7 Days,20414
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Face-to-Face,22  to 28 Days,5890
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Face-to-Face,8  to 14 Days,12861
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Face-to-Face,More than 28 Days,4847
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Face-to-Face,Same Day,49740
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Face-to-Face,Unknown / Data Quality,3
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Home Visit,1 Day,18
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Home Visit,15  to 21 Days,1
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Home Visit,2 to 7 Days,22
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Home Visit,22  to 28 Days,3
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Home Visit,8  to 14 Days,5
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Home Visit,More than 28 Days,1
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Home Visit,Same Day,93
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Home Visit,Unknown / Data Quality,2
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Telephone,1 Day,3505
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Telephone,15  to 21 Days,4752
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Telephone,2 to 7 Days,8770
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Telephone,22  to 28 Days,2775
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Telephone,8  to 14 Days,6848
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Telephone,More than 28 Days,2200
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Telephone,Same Day,31208
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Telephone,Unknown / Data Quality,2
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Video/Online,1 Day,787
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Video/Online,15  to 21 Days,15
11J,E38000045,NHS Dorset ICB - 11J,E54000041,NHS Dorset Integrated Care Board,E40000006,South West,MAY2022,Attended,GP,Video/Online,2 to 7 Days,370
