SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Attended,GP,Face-to-Face,1 Day,21
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Attended,GP,Face-to-Face,15  to 21 Days,15
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Attended,GP,Face-to-Face,2 to 7 Days,109
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Attended,GP,Face-to-Face,22  to 28 Days,6
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Attended,GP,Face-to-Face,8  to 14 Days,93
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Attended,GP,Face-to-Face,Same Day,5
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Attended,GP,Telephone,1 Day,8
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Attended,GP,Telephone,2 to 7 Days,92
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Attended,GP,Telephone,8  to 14 Days,18
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Attended,GP,Telephone,Same Day,6
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Attended,Other Practice staff,Face-to-Face,1 Day,27
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,74
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,141
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,19
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,157
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Attended,Other Practice staff,Face-to-Face,More than 28 Days,20
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Attended,Other Practice staff,Face-to-Face,Same Day,25
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Attended,Other Practice staff,Telephone,15  to 21 Days,1
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Attended,Other Practice staff,Telephone,2 to 7 Days,1
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Booked,GP,Face-to-Face,15  to 21 Days,10
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Booked,GP,Face-to-Face,2 to 7 Days,15
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Booked,GP,Face-to-Face,22  to 28 Days,7
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Booked,GP,Face-to-Face,8  to 14 Days,63
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Booked,GP,Telephone,2 to 7 Days,34
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Booked,GP,Telephone,8  to 14 Days,14
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Booked,Other Practice staff,Face-to-Face,15  to 21 Days,70
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Booked,Other Practice staff,Face-to-Face,2 to 7 Days,9
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,NHS North East and North Cumbria Integrated Care Board,E40000012,North East and Yorkshire,01APR2023,Booked,Other Practice staff,Face-to-Face,22  to 28 Days,15
