"","IMD_QUINTILE","YEAR","TOTAL_PAYMENTS","TOTAL_WEIGHTED","PAYMENT_PER_WEIGHTED_PATIENT"
"1","1",2017,1337191784.77,9873216.63,135.436285344627
"2","1",2018,1384052108.34,9980100.04,138.681185839095
"3","1",2019,1412048284.03,10176164.52,138.76036312648
"4","1",2020,1447847183.87,10267532.56,141.012183346804
"5","1",2021,1475688487.12,10396191.03,141.945110748893
"6","1",2022,1498882080.98,10563810.65,141.88838958222
"7","1",2023,1590806282.92,10761827.66,147.81934195367
"8","2",2017,1519643754.15,11292773.25,134.567809032206
"9","2",2018,1561574338.47,11290928.41,138.303448730307
"10","2",2019,1592076452.27,11512463.22,138.291556015933
"11","2",2020,1662520655.07,11698811.36,142.110219911265
"12","2",2021,1767967506.39,12312428.48,143.592103642416
"13","2",2022,1783033198.14,12489718.53,142.760078528367
"14","2",2023,1897378557.6,12767278.19,148.612611816207
"15","3",2017,1683980457.43,12220635.42,137.798109472609
"16","3",2018,1733481294.42,12277860.69,141.187568273346
"17","3",2019,1759579574.56,12396504.36,141.941592844323
"18","3",2020,1797973068.74,12414980.12,144.822871350679
"19","3",2021,1869488464.08,12597677.35,148.399455879063
"20","3",2022,1915153796.67,12862076.53,148.899269274524
"21","3",2023,2014482743.37,13080478.08,154.006813134004
"22","4",2017,1841304406.82,12675508.92,145.264732046751
"23","4",2018,1876394665.93,12561504.6,149.376585503141
"24","4",2019,1906826995.05,12683649.29,150.33741090219
"25","4",2020,1961638883.73,12756533.07,153.775236027354
"26","4",2021,1963016391.79,12623356.01,155.506696494572
"27","4",2022,1997556500.69,12737681.32,156.82261555355
"28","4",2023,2086375926.4,12834932.55,162.554490899915
"29","5",2017,1892387658.15,13053404.91,144.972723300744
"30","5",2018,1927012407.65,12952627.7,148.773859040973
"31","5",2019,1954647016.93,13090215.54,149.321224769535
"32","5",2020,2001177559,13173632.81,151.907798544447
"33","5",2021,2076224896.32,13429933.05,154.59681657311
"34","5",2022,2094789367.63,13445113.96,155.803020626089
"35","5",2023,2173293967.41,13486865.57,161.141516250021
