"","date","HCP_TYPE","APPT_MODE","appts","tot","appts_pcn","tot_pcn","apps_all","tot_all","final_percentage"
"1",2018-01-01,"GP","Face-to-Face",9637304,12282833,0,0,9637304,12282833,78.46
"2",2018-01-01,"GP","Home Visit",112267,12282833,0,0,112267,12282833,0.91
"3",2018-01-01,"GP","Telephone",2190762,12282833,0,0,2190762,12282833,17.84
"4",2018-01-01,"GP","Unknown",270617,12282833,0,0,270617,12282833,2.2
"5",2018-01-01,"GP","Video/Online",71883,12282833,0,0,71883,12282833,0.59
"6",2018-02-01,"GP","Face-to-Face",9487969,12123042,0,0,9487969,12123042,78.26
"7",2018-02-01,"GP","Home Visit",92047,12123042,0,0,92047,12123042,0.76
"8",2018-02-01,"GP","Telephone",2175960,12123042,0,0,2175960,12123042,17.95
"9",2018-02-01,"GP","Unknown",281208,12123042,0,0,281208,12123042,2.32
"10",2018-02-01,"GP","Video/Online",85858,12123042,0,0,85858,12123042,0.71
"11",2018-03-01,"GP","Face-to-Face",8956596,11502268,0,0,8956596,11502268,77.87
"12",2018-03-01,"GP","Home Visit",95238,11502268,0,0,95238,11502268,0.83
"13",2018-03-01,"GP","Telephone",2077544,11502268,0,0,2077544,11502268,18.06
"14",2018-03-01,"GP","Unknown",306625,11502268,0,0,306625,11502268,2.67
"15",2018-03-01,"GP","Video/Online",66265,11502268,0,0,66265,11502268,0.58
"16",2018-04-01,"GP","Face-to-Face",9522133,12221579,0,0,9522133,12221579,77.91
"17",2018-04-01,"GP","Home Visit",87017,12221579,0,0,87017,12221579,0.71
"18",2018-04-01,"GP","Telephone",2217117,12221579,0,0,2217117,12221579,18.14
"19",2018-04-01,"GP","Unknown",306131,12221579,0,0,306131,12221579,2.5
"20",2018-04-01,"GP","Video/Online",89181,12221579,0,0,89181,12221579,0.73
"21",2018-05-01,"GP","Face-to-Face",10001586,12803710,0,0,10001586,12803710,78.11
"22",2018-05-01,"GP","Home Visit",89341,12803710,0,0,89341,12803710,0.7
"23",2018-05-01,"GP","Telephone",2307040,12803710,0,0,2307040,12803710,18.02
"24",2018-05-01,"GP","Unknown",311989,12803710,0,0,311989,12803710,2.44
"25",2018-05-01,"GP","Video/Online",93754,12803710,0,0,93754,12803710,0.73
"26",2018-06-01,"GP","Face-to-Face",9629893,12339448,0,0,9629893,12339448,78.04
"27",2018-06-01,"GP","Home Visit",84050,12339448,0,0,84050,12339448,0.68
"28",2018-06-01,"GP","Telephone",2231146,12339448,0,0,2231146,12339448,18.08
"29",2018-06-01,"GP","Unknown",304102,12339448,0,0,304102,12339448,2.46
"30",2018-06-01,"GP","Video/Online",90257,12339448,0,0,90257,12339448,0.73
"31",2018-07-01,"GP","Face-to-Face",9698688,12446820,0,0,9698688,12446820,77.92
"32",2018-07-01,"GP","Home Visit",89818,12446820,0,0,89818,12446820,0.72
"33",2018-07-01,"GP","Telephone",2283703,12446820,0,0,2283703,12446820,18.35
"34",2018-07-01,"GP","Unknown",285265,12446820,0,0,285265,12446820,2.29
"35",2018-07-01,"GP","Video/Online",89346,12446820,0,0,89346,12446820,0.72
"36",2018-08-01,"GP","Face-to-Face",9170993,11790918,0,0,9170993,11790918,77.78
"37",2018-08-01,"GP","Home Visit",86694,11790918,0,0,86694,11790918,0.74
"38",2018-08-01,"GP","Telephone",2183141,11790918,0,0,2183141,11790918,18.52
"39",2018-08-01,"GP","Unknown",269974,11790918,0,0,269974,11790918,2.29
"40",2018-08-01,"GP","Video/Online",80116,11790918,0,0,80116,11790918,0.68
"41",2018-09-01,"GP","Face-to-Face",9219041,11764863,0,0,9219041,11764863,78.36
"42",2018-09-01,"GP","Home Visit",81481,11764863,0,0,81481,11764863,0.69
"43",2018-09-01,"GP","Telephone",2098803,11764863,0,0,2098803,11764863,17.84
"44",2018-09-01,"GP","Unknown",277382,11764863,0,0,277382,11764863,2.36
"45",2018-09-01,"GP","Video/Online",88156,11764863,0,0,88156,11764863,0.75
"46",2018-10-01,"GP","Face-to-Face",10764125,13762288,0,0,10764125,13762288,78.21
"47",2018-10-01,"GP","Home Visit",97420,13762288,0,0,97420,13762288,0.71
"48",2018-10-01,"GP","Telephone",2463811,13762288,0,0,2463811,13762288,17.9
"49",2018-10-01,"GP","Unknown",336478,13762288,0,0,336478,13762288,2.44
"50",2018-10-01,"GP","Video/Online",100454,13762288,0,0,100454,13762288,0.73
"51",2018-11-01,"GP","Face-to-Face",10541150,13517320,0,0,10541150,13517320,77.98
"52",2018-11-01,"GP","Home Visit",97525,13517320,0,0,97525,13517320,0.72
"53",2018-11-01,"GP","Telephone",2447845,13517320,0,0,2447845,13517320,18.11
"54",2018-11-01,"GP","Unknown",330779,13517320,0,0,330779,13517320,2.45
"55",2018-11-01,"GP","Video/Online",100021,13517320,0,0,100021,13517320,0.74
"56",2018-12-01,"GP","Face-to-Face",8779893,11317728,0,0,8779893,11317728,77.58
"57",2018-12-01,"GP","Home Visit",88932,11317728,0,0,88932,11317728,0.79
"58",2018-12-01,"GP","Telephone",2093108,11317728,0,0,2093108,11317728,18.49
"59",2018-12-01,"GP","Unknown",273119,11317728,0,0,273119,11317728,2.41
"60",2018-12-01,"GP","Video/Online",82676,11317728,0,0,82676,11317728,0.73
"61",2019-01-01,"GP","Face-to-Face",10913981,14051380,0,0,10913981,14051380,77.67
"62",2019-01-01,"GP","Home Visit",112542,14051380,0,0,112542,14051380,0.8
"63",2019-01-01,"GP","Telephone",2582353,14051380,0,0,2582353,14051380,18.38
"64",2019-01-01,"GP","Unknown",336186,14051380,0,0,336186,14051380,2.39
"65",2019-01-01,"GP","Video/Online",106318,14051380,0,0,106318,14051380,0.76
"66",2019-02-01,"GP","Face-to-Face",9791062,12600836,0,0,9791062,12600836,77.7
"67",2019-02-01,"GP","Home Visit",95951,12600836,0,0,95951,12600836,0.76
"68",2019-02-01,"GP","Telephone",2320091,12600836,0,0,2320091,12600836,18.41
"69",2019-02-01,"GP","Unknown",302054,12600836,0,0,302054,12600836,2.4
"70",2019-02-01,"GP","Video/Online",91678,12600836,0,0,91678,12600836,0.73
"71",2019-03-01,"GP","Face-to-Face",10441736,13417666,0,0,10441736,13417666,77.82
"72",2019-03-01,"GP","Home Visit",97180,13417666,0,0,97180,13417666,0.72
"73",2019-03-01,"GP","Telephone",2456292,13417666,0,0,2456292,13417666,18.31
