"","date","Face-to-Face","Home Visit","Telephone","Unknown","Video/Online"
"1",2018-01-01,78.46,0.91,17.84,2.2,0.59
"2",2018-02-01,78.26,0.76,17.95,2.32,0.71
"3",2018-03-01,77.87,0.83,18.06,2.67,0.58
"4",2018-04-01,77.91,0.71,18.14,2.5,0.73
"5",2018-05-01,78.11,0.7,18.02,2.44,0.73
"6",2018-06-01,78.04,0.68,18.08,2.46,0.73
"7",2018-07-01,77.92,0.72,18.35,2.29,0.72
"8",2018-08-01,77.78,0.74,18.52,2.29,0.68
"9",2018-09-01,78.36,0.69,17.84,2.36,0.75
"10",2018-10-01,78.21,0.71,17.9,2.44,0.73
"11",2018-11-01,77.98,0.72,18.11,2.45,0.74
"12",2018-12-01,77.58,0.79,18.49,2.41,0.73
"13",2019-01-01,77.67,0.8,18.38,2.39,0.76
"14",2019-02-01,77.7,0.76,18.41,2.4,0.73
"15",2019-03-01,77.82,0.72,18.31,2.42,0.73
"16",2019-04-01,77.51,0.76,18.62,2.42,0.69
"17",2019-05-01,77.93,0.74,18.42,2.17,0.74
"18",2019-06-01,78.07,0.72,18.32,2.09,0.8
"19",2019-07-01,76.61,0.73,18.19,3.59,0.88
"20",2019-08-01,76.39,0.75,18.42,3.54,0.9
"21",2019-09-01,77.24,0.72,17.71,3.38,0.95
"22",2019-10-01,77.4,0.76,17.72,3.19,0.93
"23",2019-11-01,77.03,0.76,18.22,3.06,0.92
"24",2019-12-01,76.5,0.81,18.8,2.98,0.91
"25",2020-01-01,76.79,0.79,18.51,2.94,0.98
"26",2020-02-01,76.54,0.76,18.81,2.92,0.98
"27",2020-03-01,58.5,0.54,37.4,2.9,0.66
"28",2020-04-01,36.3,0.37,60.34,2.73,0.26
"29",2020-05-01,36.7,0.39,60.1,2.58,0.23
"30",2020-06-01,35.67,0.39,61.27,2.41,0.26
"31",2020-07-01,37.35,0.42,59.56,2.3,0.37
"32",2020-08-01,38.69,0.42,58.48,2.02,0.4
"33",2020-09-01,41.57,0.4,55.74,1.85,0.44
"34",2020-10-01,43.02,0.41,54.45,1.69,0.43
"35",2020-11-01,40.51,0.42,57.06,1.57,0.43
"36",2020-12-01,41.01,0.44,56.59,1.52,0.44
"37",2021-01-01,39.46,0.42,58.22,1.47,0.43
"38",2021-02-01,39.92,0.43,57.76,1.46,0.43
"39",2021-03-01,40.94,0.42,56.7,1.5,0.43
"40",2021-04-01,42.12,0.46,55.56,1.45,0.42
"41",2021-05-01,43.19,0.47,54.81,1.12,0.41
"42",2021-06-01,44.06,0.48,53.99,1.06,0.42
"43",2021-07-01,44.54,0.49,53.56,1,0.41
"44",2021-08-01,45.35,0.52,52.65,1.07,0.41
"45",2021-09-01,48.43,0.49,49.62,1.03,0.44
"46",2021-10-01,50.87,0.49,47.01,1.14,0.5
"47",2021-11-01,50.46,0.54,47.4,1.08,0.51
"48",2021-12-01,49.3,0.58,48.6,1.04,0.48
"49",2022-01-01,48.72,0.55,49.26,0.98,0.49
"50",2022-02-01,49.89,0.61,48.18,0.92,0.41
"51",2022-03-01,50.99,0.61,47.16,0.83,0.42
"52",2022-04-01,51.99,0.66,46.12,0.8,0.43
"53",2022-05-01,54.29,0.61,43.76,0.83,0.51
"54",2022-06-01,55.24,0.62,42.83,0.8,0.51
"55",2022-07-01,55.7,0.63,42.35,0.79,0.53
"56",2022-08-01,56.56,0.67,41.45,0.78,0.54
"57",2022-09-01,58.58,0.65,39.43,0.73,0.61
"58",2022-10-01,61.02,0.66,37.01,0.71,0.6
"59",2022-11-01,60.32,0.69,37.71,0.67,0.61
"60",2022-12-01,60.69,0.72,37.35,0.65,0.58
"61",2023-01-01,61.09,0.75,36.89,0.63,0.64
"62",2023-02-01,61.81,0.73,36.21,0.61,0.64
"63",2023-03-01,61.79,0.75,36.2,0.57,0.7
"64",2023-04-01,61.32,0.84,36.22,0.73,0.92
"65",2023-05-01,61.46,0.89,35.61,0.74,1.32
"66",2023-06-01,60.99,0.91,35.48,0.74,1.92
"67",2023-07-01,60.41,0.94,35.48,0.77,2.45
"68",2023-08-01,60.24,0.98,35.22,0.85,2.76
"69",2023-09-01,62.51,0.94,32.94,0.88,2.78
"70",2023-10-01,62.22,0.97,32.84,0.87,3.16
"71",2023-11-01,60.88,1,33.84,0.84,3.5
"72",2023-12-01,60.25,1.03,34.26,0.83,3.72
"73",2024-01-01,60.45,1.07,33.7,0.88,3.99
"74",2024-02-01,60.58,1.01,33.35,0.91,4.25
"75",2024-03-01,60.34,1,33.26,0.79,4.71
"76",2024-04-01,59.99,1.07,33.22,0.64,5.15
"77",2024-05-01,59.93,1.1,33,0.68,5.39
"78",2024-06-01,59.63,1.06,33.11,0.76,5.55
"79",2024-07-01,59.35,1.07,33.11,0.74,5.83
"80",2024-08-01,58.96,1.1,33.25,0.68,6.12
"81",2024-09-01,59.48,1.06,32.66,0.71,6.2
"82",2024-10-01,62.17,1.06,30.22,0.65,5.99
"83",2024-11-01,60.12,1.06,31.8,0.67,6.49
"84",2024-12-01,59.49,1.11,32.19,0.64,6.7
"85",2025-01-01,59.33,1.12,31.83,0.66,7.2
"86",2025-02-01,59.17,1.09,31.59,0.64,7.67
"87",2025-03-01,59.09,1.05,31.54,0.64,7.84
"88",2025-04-01,58.77,1.13,31.5,0.63,8.11
