"","YEAR","IMD_QUINTILE","POINTS","percentage"
"1",2017,1,533.365189964158,95.41
"2",2017,2,535.897808315715,95.87
"3",2017,3,536.942804453723,96.05
"4",2017,4,536.75613986014,96.02
"5",2017,5,544.661194029851,97.43
"6",2018,1,535.749492647059,95.84
"7",2018,2,537.002522189349,96.06
"8",2018,3,539.103778264041,96.44
"9",2018,4,539.487378711079,96.51
"10",2018,5,544.619675792507,97.43
"11",2019,1,530.244003009782,94.86
"12",2019,2,531.180532233883,95.02
"13",2019,3,534.264730627306,95.58
"14",2019,4,535.357773668639,95.77
"15",2019,5,538.246296296296,96.29
"16",2021,1,566.609515246286,89.23
"17",2021,2,572.842265321955,90.21
"18",2021,3,582.330955315871,91.71
"19",2021,4,590.952507692308,93.06
"20",2021,5,600.091492307692,94.5
"21",2022,1,556.521085759245,87.64
"22",2022,2,564.262078740157,88.86
"23",2022,3,575.82172034564,90.68
"24",2022,4,581.493785046729,91.57
"25",2022,5,590.6265,93.01
"26",2023,1,575.697045636509,90.66
"27",2023,2,580.908624,91.48
"28",2023,3,592.315111821086,93.28
"29",2023,4,598.062476190476,94.18
"30",2023,5,606.688288216561,95.54
