"","IMD_QUINTILE","YEAR","total_gps","total_population","gps_per_pop"
"1",1,2017,5414.86518646138,11281917.1322631,47.9959666693207
"2",1,2018,5214.8695010793,11337886.179688,45.995077198974
"3",1,2019,5205.08483964431,11378344.2067688,45.745538586782
"4",1,2020,5193.42402059067,11395234.856758,45.5754013486671
"5",1,2021,5003.19257381676,10975112.5325683,45.5867086462205
"6",1,2022,4935.86190239202,11060664.1035968,44.6253665798146
"7",1,2023,4912.59442278283,11060664.1035968,44.4150041694633
"8",1,2024,5323.72260292933,11583097.8713274,45.9611294151937
"9",1,2025,5461.79885504582,11583097.8713274,47.1531788448914
"10",2,2017,5455.78834507078,11343414.7124375,48.0965254588529
"11",2,2018,5314.73676116177,11413490.3214059,46.565394208939
"12",2,2019,5283.73880418456,11464465.5216843,46.087964538693
"13",2,2020,5286.58247726748,11508035.8249125,45.9381823075589
"14",2,2021,4970.35348614396,10760121.3666925,46.1923552417308
"15",2,2022,4886.1540067488,10841236.0680818,45.0700821941732
"16",2,2023,4844.67274066676,10841236.0680818,44.6874573179917
"17",2,2024,5301.96927615251,11520389.743001,46.0224818294331
"18",2,2025,5448.46756310311,11520389.743001,47.2941253260396
"19",3,2017,5514.26182040238,11240673.5646007,49.0563291310938
"20",3,2018,5390.26709677219,11325009.1859175,47.5961388488313
"21",3,2019,5370.66915228424,11397328.0600942,47.122177443402
"22",3,2020,5357.89362756617,11457978.3036237,46.7612478012083
"23",3,2021,4994.66327895857,10688075.8025521,46.7311737980556
"24",3,2022,4950.40668897197,10772588.0403167,45.9537361908294
"25",3,2023,4925.42629125991,10772588.0403167,45.7218476453975
"26",3,2024,5375.29061037915,11478293.940086,46.8300484238938
"27",3,2025,5510.1665227716,11478293.940086,48.0051003357587
"28",4,2017,5482.38490081062,10947025.0255981,50.0810483943427
"29",4,2018,5359.12108680933,11029569.3576322,48.5886702648183
"30",4,2019,5352.15692827913,11104387.2119246,48.1985797697295
"31",4,2020,5344.46691393114,11171908.4120193,47.8384418921776
"32",4,2021,5003.96953257411,10542169.0308113,47.4662236770172
"33",4,2022,4967.35868369316,10625461.2837123,46.7495815104759
"34",4,2023,4942.06304822777,10625461.2837123,46.5115152770206
"35",4,2024,5361.61836327276,11282946.2954332,47.5196657227988
"36",4,2025,5480.92443736572,11282946.2954332,48.5770674950757
"37",5,2017,5460.17776490532,10592254.5651005,51.5487777540353
"38",5,2018,5286.18821568415,10660070.9553564,49.5886775784356
"39",5,2019,5299.30290295937,10727708.999528,49.3982722983306
"40",5,2020,5306.16328333509,10793922.6026866,49.1588042517038
"41",5,2021,5082.41347642233,10470738.8897743,48.5392055892618
"42",5,2022,5082.96801912182,10546855.3973549,48.1941567189459
"43",5,2023,5060.97399862851,10546855.3973549,47.9856204333454
"44",5,2024,5374.97865488449,11011283.1501524,48.8133724434295
"45",5,2025,5467.14567323759,11011283.1501524,49.6503958592866
